model,feature_set,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,direction_coverage_mean,direction_coverage_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
cnn,technical_vmd,20,27.629240713120332,4.20367197099872,22.73478474773241,3.5447199365439572,2.6097091412746423,0.5707549013989311,0.3017376930302639,0.6458851406753657,0.5178007150780995,0.01955878520961649,0.518188080309762,0.027682887139856626,0.04194651053365413,0.06476266980976209,1.0,0.0,3.726288450001084,0.37685220934554026,74.52576900002168
cnn,technical_vmd_news,20,28.200468011701822,5.728518410337206,22.963780043923997,4.910970566583962,2.6580418126170384,0.8172399119462801,0.35010564850060477,0.45212715553987914,0.5162091683775737,0.033436436290560125,0.5174854574927246,0.03492189565129925,0.04298122745063046,0.07296984703578767,1.0,0.0,3.747434210000938,0.32518966252920245,74.94868420001876
lstm,technical_vmd,5,17.530886529554973,3.973220210024947,14.293555319453233,3.724564842297315,1.6026195656924276,0.3020607831287829,0.6002982343917771,0.5664119350007365,0.5036069293763035,0.023431759631578487,0.5095527019729919,0.013734550480338618,0.02254934199741912,0.028092619686089004,1.0,0.0,4.797271250000631,0.37120315481776295,95.94542500001262
lstm,technical_vmd_news,5,16.930790973967248,1.2665227742353895,13.638751270643873,0.9748173585775599,1.5537558844183996,0.2644438095878316,0.7566944814284742,0.20354777196848292,0.5240721831984871,0.02574868612734094,0.5213404017263424,0.01865409516651609,0.04743867533464904,0.04064424353584647,1.0,0.0,4.768633394999052,0.4224182310816958,95.37266789998102
lstm_attention,technical_vmd,10,38.99778790887538,10.200178555968288,33.81159855960408,9.973395907942097,3.848218597854822,1.2354348817318879,-1.9052214882164866,3.9569812185936226,0.5152630649901514,0.03159616657335087,0.5241269551758888,0.027342383424124674,0.0551691749364283,0.06113818071107824,1.0,0.0,7.895963219999612,1.0073301124283032,157.91926439999224
lstm_attention,technical_vmd_news,10,25.491160235686237,2.34277292502326,20.701871025372583,2.1498065834889877,2.3551569552508385,0.30445127334431854,0.33113859481386954,0.7492494262509092,0.5192356117346804,0.03204441108819212,0.5277039780570402,0.031224334990193142,0.06649716380606584,0.0640836931488591,1.0,0.0,7.834029625000039,0.9659959921377048,156.68059250000078
lstm_cnn,technical_vmd,20,30.867534035496888,11.206258436613089,24.393301231212313,7.840156404714263,2.864239251258754,1.245611868297625,0.19105007214768469,0.6398304973417945,0.5229464656886416,0.019631976699678796,0.5278616895605046,0.02549043465678099,0.06806965970466232,0.05835370931739493,1.0,0.0,7.47523075500103,0.956105787684897,149.5046151000206
lstm_cnn,technical_vmd_news,20,33.43634091288601,9.256209737580923,26.486402503604673,6.861555627314535,3.0894616000610817,1.117977568008489,0.001038490658204376,0.8952657428950388,0.5144601074947572,0.025214570753839215,0.5188892345589295,0.028969337629148672,0.04650009506875917,0.06745937539479123,1.0,0.0,7.473151234999023,1.0630189712119598,149.46302469998045
lstm_cnn_attention,technical_vmd,20,40.56236576963677,13.536110295164516,32.32636386554047,9.4064524953664,3.7937979868843064,1.538899685001164,-0.3400905420424919,1.0552534730262428,0.5231091031836188,0.03156198074021914,0.5280076055786035,0.03807599358285312,0.06737739711891924,0.08696056150914767,1.0,0.0,10.397417230001519,1.7021417275320638,207.9483446000304
lstm_cnn_attention,technical_vmd_news,20,40.44073948605801,11.778168408302102,32.05856836022036,7.975634771575978,3.7475717377692064,1.3548671138271111,-0.3715591436486525,1.156271989055656,0.5131900463131834,0.028193207323786953,0.5191327936576071,0.03260882689159041,0.048322196834053095,0.07431688632448546,1.0,0.0,10.385863255000732,1.6203521039309194,207.71726510001463
