model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
cnn,42,fold_1,2022,5,16.387532719021056,13.203536850377242,1.344623251225456,0.45785410736547305,0.48132780082987553,2.9078319000000192,34.64840158387833,30.448643175140905,3.0854540684594705,-1.4235692686547528,0.5311203319502075,3.0138019999999415,18.260868864857276,17.24510632476366,1.7408308172340146,-1.881423376020226,0.10597009999992224,4.979253112033194
cnn,42,fold_2,2023,5,16.374467373167548,13.506783437586616,1.4551828335960497,0.8645671162177445,0.5308641975308642,3.5100967000000765,20.106602718932628,16.432851369542814,1.7614900668878237,0.7957946314880032,0.5267489711934157,3.4119516999999178,3.73213534576508,2.9260679319561973,0.306307233291774,-0.06877248472974129,-0.09814500000015869,-0.4115226337448541
cnn,123,fold_1,2022,5,13.161567353531353,10.629429954156842,1.085539512678076,0.6502930613084072,0.42738589211618255,3.0863772000000154,30.2143806513511,25.118559147772487,2.5437506274373285,-0.8429621708041934,0.46887966804979253,3.420961000000034,17.052813297819746,14.489129193615645,1.4582111147592525,-1.4932552321126007,0.3345838000000185,4.149377593360998
cnn,123,fold_2,2023,5,13.189326474897074,10.618283541178014,1.1495526454073492,0.9121311386685323,0.5185185185185185,3.7671141999999236,18.594648760491022,14.989560126645063,1.6246888691322254,0.8253511540936803,0.49794238683127573,3.6244793999999274,5.4053222855939485,4.371276585467049,0.4751362237248762,-0.08677998457485203,-0.14263479999999618,-2.0576131687242762
cnn,456,fold_1,2022,5,17.272606603184816,13.775624396217331,1.4027508004727816,0.39771119373766395,0.5186721991701245,3.1075296999999864,16.979086305397676,13.502260259919122,1.3729171435594247,0.41800713555433344,0.5186721991701245,3.519128599999931,-0.29352029778713984,-0.2733641362982091,-0.02983365691335682,0.020295941816669494,0.4115988999999445,0.0
cnn,456,fold_2,2023,5,17.310204550862363,13.66995365776642,1.4822482315092484,0.8486459099762532,0.51440329218107,3.7094227000000046,16.67906581377938,13.29852924623607,1.432547467612928,0.8594815966871493,0.5473251028806584,3.4909485000000586,-0.6311387370829813,-0.37142441153035044,-0.0497007638963205,0.010835686710896075,-0.218474199999946,3.292181069958844
cnn,789,fold_1,2022,5,33.93832166082627,30.30449336019289,3.0796396844126757,-1.3252505258733644,0.5643153526970954,3.302964700000075,17.317383634436922,13.77476438646987,1.4060620970334825,0.39458443217977246,0.5269709543568465,3.2876174999998966,-16.620938026389346,-16.529728973723017,-1.6735775873791932,1.719834958053137,-0.015347200000178418,-3.734439834024894
cnn,789,fold_2,2023,5,17.713980925987986,14.169984740504503,1.5373842662723098,0.8415026129230526,0.5596707818930041,3.4372763000001214,16.744027731388776,13.496594911416373,1.4498261916520063,0.858384878002831,0.5473251028806584,3.53035890000001,-0.9699531945992099,-0.6733898290881299,-0.08755807462030352,0.016882265079778414,0.09308259999988877,-1.2345679012345734
cnn,2025,fold_1,2022,5,18.285482192658687,15.034077616148483,1.532438421851885,0.32500296864726075,0.44813278008298757,3.234135300000162,18.485765936005972,15.071622496531734,1.53551114729527,0.31013529226262304,0.4979253112033195,3.415129900000011,0.20028374334728483,0.03754488038325121,0.0030727254433851048,-0.014867676384637707,0.18099459999984902,4.979253112033194
cnn,2025,fold_2,2023,5,14.827165913210358,12.067293905260136,1.3016236097037548,0.8889531979581732,0.551440329218107,3.591908999999987,14.564906425631762,11.731777525487745,1.2630710689377203,0.892846796564263,0.5349794238683128,3.2879917999998725,-0.2622594875785964,-0.33551637977239146,-0.03855254076603454,0.003893598606089843,-0.30391720000011446,-1.6460905349794275
lstm,42,fold_1,2022,5,24.204725422469593,19.335021777761455,1.9736916746787958,-0.1827401748778863,0.5145228215767634,4.314337999999907,13.965672215412908,11.06409003649015,1.1249272131054004,0.6062571164681625,0.5103734439834025,4.230891600000177,-10.239053207056685,-8.270931741271305,-0.8487644615733954,0.7889972913460488,-0.08344639999972969,-0.4149377593360981
lstm,42,fold_2,2023,5,17.196820557885427,12.926616812978766,1.381764100441414,0.8506221924931262,0.522633744855967,4.582395599999927,15.533208153843795,12.137059592459924,1.2968641332647308,0.8781257136181694,0.5473251028806584,5.185540299999957,-1.6636124040416327,-0.7895572205188426,-0.08489996717668324,0.027503521125043173,0.6031447000000298,2.4691358024691357
lstm,123,fold_1,2022,5,29.992892342897274,26.37485770659826,2.6874219664495587,-0.8160413193600706,0.44398340248962653,3.9339482000000316,24.368624809340584,19.018716674533653,1.9420653987445968,-0.19881197105763038,0.4854771784232365,4.25639369999999,-5.62426753355669,-7.356141032064606,-0.7453565677049618,0.6172293483024403,0.322445499999958,4.149377593360998
lstm,123,fold_2,2023,5,11.01551479772988,8.893979214184556,0.9538868058289534,0.9387086258877325,0.5390946502057613,4.6714322999998785,15.04083361806823,12.203359847475973,1.3093714033756925,0.8857296452001974,0.5925925925925926,4.303017299999965,4.0253188203383505,3.3093806332914166,0.3554845975467391,-0.05297898068753515,-0.36841499999991356,5.349794238683126
