model,feature_set,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
cnn,technical_vmd,5,17.846065576734752,2.776152882900724,14.697946145938849,2.674965563624968,1.5370983257129587,0.2148190520253863,0.4861410780929197,0.5444989742705587,0.511473114423783,0.03324294161779283,3.365465770000037,0.2851867822138103,33.65465770000037
cnn,technical_vmd_news,5,20.433426956129356,4.377806504542591,16.78651626451622,3.9550654908976135,1.747531874800768,0.3411184114957492,0.308805447737371,0.7602336421208704,0.5197889452384611,0.01566277199862007,3.40023692999996,0.171588271540071,34.0023692999996
lstm,technical_vmd,5,19.307117747890796,5.777183769826865,15.922298952393358,5.412447695237208,1.6554940245035772,0.5073577943624427,0.32138107237327895,0.7903445480630162,0.507340812458378,0.03326709020243459,4.431438529999991,0.32105111645297324,44.31438529999991
lstm,technical_vmd_news,5,17.351465172140845,1.6207537982238251,13.95640972123228,1.174117795733935,1.4552825851646047,0.07450117421348264,0.566059590800146,0.4149712796842092,0.5304543824599149,0.042482190101715195,4.457554680000021,0.3418550398005442,44.57554680000021
lstm_attention,technical_vmd,20,45.4167532372025,11.845639963148438,40.099404920173164,12.76737750487421,4.159928915221403,1.1701826233013495,-4.131265296981252,6.124653670937715,0.48671003876167546,0.0228687096557096,7.542368390000047,0.6868757347561438,75.42368390000047
lstm_attention,technical_vmd_news,20,33.019156913515076,3.619161623062584,26.626619777903333,1.8779881054630196,2.7969208340581915,0.060535553142346696,-0.5258866198976123,1.4880390491936886,0.4871625429025152,0.009425192585663636,7.940609259999997,0.6096102396807093,79.40609259999997
lstm_cnn,technical_vmd,20,24.60527665260885,3.7481211141187183,19.66397720118252,2.6622487419074665,2.0593631035361017,0.19304848790262333,0.10359513212420096,0.9166051377686887,0.5164523675358161,0.026201214336267063,6.170214039999996,0.4034631898226232,61.70214039999996
lstm_cnn,technical_vmd_news,20,29.257428563824632,7.2547603481462435,23.68325246186661,6.176727891662571,2.469960369353407,0.5424851346068845,-0.4039083786983122,1.5658903945552727,0.5057015521745812,0.028601583649654063,6.111715890000005,0.36899076519393026,61.11715890000005
lstm_cnn_attention,technical_vmd,20,33.08075613885687,5.871402551357327,27.03342151486016,4.606077265967259,2.8249692264219766,0.36149596205581896,-0.6137300105230443,1.6808772433410495,0.4965934122227345,0.034498668019162376,9.52938585000004,0.7561562984959092,95.2938585000004
lstm_cnn_attention,technical_vmd_news,20,34.141603432626326,4.389690021996362,27.81049872769023,3.197055655125257,2.908836135065328,0.21167849043332118,-0.6473186481764144,1.6376587576186052,0.49619213496576337,0.030410312639319027,9.427493849999996,0.6861585341537338,94.27493849999996
