fold,hmm_v1_regime,daily_v2_regime,rows,comparison_rows,overall_agreement
fold_1,bull,bull,73,241,0.44398340248962653
fold_1,bull,sideway,84,241,0.44398340248962653
fold_1,bull,bear,29,241,0.44398340248962653
fold_1,sideway,bull,0,241,0.44398340248962653
fold_1,sideway,sideway,0,241,0.44398340248962653
fold_1,sideway,bear,0,241,0.44398340248962653
fold_1,bear,bull,0,241,0.44398340248962653
fold_1,bear,sideway,21,241,0.44398340248962653
fold_1,bear,bear,34,241,0.44398340248962653
fold_2,bull,bull,34,243,0.5390946502057613
fold_2,bull,sideway,45,243,0.5390946502057613
fold_2,bull,bear,22,243,0.5390946502057613
fold_2,sideway,bull,0,243,0.5390946502057613
fold_2,sideway,sideway,0,243,0.5390946502057613
fold_2,sideway,bear,0,243,0.5390946502057613
fold_2,bear,bull,6,243,0.5390946502057613
fold_2,bear,sideway,39,243,0.5390946502057613
fold_2,bear,bear,97,243,0.5390946502057613
fold_3,bull,bull,65,244,0.38114754098360654
fold_3,bull,sideway,76,244,0.38114754098360654
fold_3,bull,bear,31,244,0.38114754098360654
fold_3,sideway,bull,15,244,0.38114754098360654
fold_3,sideway,sideway,0,244,0.38114754098360654
fold_3,sideway,bear,0,244,0.38114754098360654
fold_3,bear,bull,1,244,0.38114754098360654
fold_3,bear,sideway,28,244,0.38114754098360654
fold_3,bear,bear,28,244,0.38114754098360654
fold_4,bull,bull,17,234,0.43162393162393164
fold_4,bull,sideway,2,234,0.43162393162393164
fold_4,bull,bear,0,234,0.43162393162393164
fold_4,sideway,bull,35,234,0.43162393162393164
fold_4,sideway,sideway,20,234,0.43162393162393164
fold_4,sideway,bear,38,234,0.43162393162393164
fold_4,bear,bull,22,234,0.43162393162393164
fold_4,bear,sideway,36,234,0.43162393162393164
fold_4,bear,bear,64,234,0.43162393162393164
