fold,regime,rows,share,mean_return_1d,mean_return_20d,median_return_20d,mean_adx_14,mean_semantic_score,mean_absolute_semantic_score,mean_routing_confidence
fold_1,bull,896,0.3798219584569733,0.0018080559871502463,0.03994252968955863,0.03321949344514205,24.53685363601951,0.22481031999214143,0.22481031999214143,0.9045629455149059
fold_1,sideway,826,0.35014836795252224,0.00022290308827565292,0.0015084229527773634,-0.0006977864668154001,18.229939478634627,0.005041392092292491,0.03074183800438259,0.7763461813368605
fold_1,bear,637,0.27002967359050445,-0.0023981931800615497,-0.04884444457363043,-0.0400337896680252,29.39457639138426,-0.23535230458722176,0.23535230458722176,0.9144036698188159
fold_2,bull,982,0.3776923076923077,0.0018318712575499413,0.03894075577405359,0.0328582318117075,24.144387651909174,0.21835155920386068,0.21835155920386068,0.9056572764542533
fold_2,sideway,910,0.35,0.0001268348322210949,0.0015300525184573223,-0.0006203485677049999,18.053006453216913,0.005229852369662325,0.029811363878157675,0.7763799111640847
fold_2,bear,708,0.2723076923076923,-0.0022847072804493642,-0.0469778047088888,-0.038383925644716946,28.85331565249467,-0.2292526104262206,0.2292526104262206,0.9165004057278333
fold_3,bull,1021,0.35912768202602885,0.0017776257824448929,0.038451223501782296,0.0326434356285103,24.059494484816522,0.21571021782106067,0.21571021782106067,0.9045253854321731
fold_3,sideway,995,0.3499824129440732,0.00012182800909061038,0.0015578567295801602,-0.0007640586797066,18.321738535574227,0.004646460792071695,0.030150985967963777,0.7744103989502149
fold_3,bear,827,0.290889905029898,-0.002140582972720363,-0.044737311255422664,-0.0372916109476688,29.103272458721676,-0.23051419982236745,0.23051419982236745,0.9188373650774122
fold_4,bull,1111,0.35989633948817623,0.001742186236808142,0.038415193987704016,0.0324269332200746,24.641923366094627,0.22214979803779764,0.22214979803779764,0.9075781752307387
fold_4,sideway,1081,0.35017816650469713,9.896972273138467e-05,0.0012662211429738763,-0.0009663878235134,18.12950277586615,0.003927326783495487,0.029340325072994684,0.777109487417917
fold_4,bear,895,0.28992549400712664,-0.0020502356154460956,-0.04345087096184718,-0.0360395810427637,28.52258633873148,-0.22486968263315893,0.22486968263315893,0.9173689327980225
