model,direction_correct,reliable_repeats,fidelity_r2_median,spearman_abs_median,top_k_jaccard_median,sign_agreement_median
cnn,False,57,0.7850991343686102,0.3377128487447995,0.4285714285714285,0.639344262295082
cnn,True,46,0.7500393450605483,0.31750935989240664,0.3333333333333333,0.6188524590163935
lstm,False,60,0.7501064238110525,0.4068818753490339,0.38095238095238093,0.6639344262295082
lstm,True,45,0.7929521270717667,0.420331041137264,0.3333333333333333,0.6557377049180327
lstm_attention,False,71,0.7413853908301979,0.3225784066538674,0.3333333333333333,0.6475409836065574
lstm_attention,True,31,0.7679760537671665,0.3387834948665161,0.4285714285714285,0.6475409836065574
lstm_cnn,False,58,0.7760915356758826,0.3419161261115389,0.3333333333333333,0.6557377049180327
lstm_cnn,True,46,0.7490572854515356,0.3410701834968492,0.3333333333333333,0.6311475409836066
lstm_cnn_attention,False,46,0.8017878074942675,0.26568215688931035,0.3333333333333333,0.6557377049180327
lstm_cnn_attention,True,47,0.7373419982835216,0.2484592939683631,0.3333333333333333,0.639344262295082
