model,fold,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
cnn,fold_1,Bull,30,0,30,1.0,0.16170842467670338,0.14424190547496102,0.1768476493854086,,,,,,,,1.2552629000711009
cnn,fold_1,Sideway,30,0,30,1.0,0.14525559101395963,0.1255888788290444,0.20781394351399327,,,,,,,,1.2751633999869214
cnn,fold_1,Bear,30,0,30,1.0,0.1848114705911975,0.13977568866253226,0.24086987643243707,,,,,,,,1.2592705000133706
cnn,fold_2,Bull,30,0,30,1.0,0.20291029741172784,0.14181882516821886,0.2233227564547884,,,,,,,,0.9682548999990092
cnn,fold_2,Sideway,30,0,30,1.0,0.20211718116151445,0.1772866844709044,0.2514911364644337,,,,,,,,0.9963536000432203
cnn,fold_2,Bear,30,0,30,1.0,0.29308235923292614,0.21527383957826107,0.6228011792772473,,,,,,,,0.9710269999777653
cnn,fold_3,Bull,30,5,25,0.8333333333333334,0.4179459880662859,0.3034839286026486,0.5317284971138173,0.3377128487447995,0.2994009007967061,0.3498732738309635,0.4285714285714285,0.4285714285714285,0.5384615384615384,0.6147540983606558,0.9743279000103924
cnn,fold_3,Sideway,30,8,22,0.7333333333333333,0.6736397899832962,0.5845248293276049,0.7005489672002252,0.29989657029750083,0.2778640609871753,0.3445563923191054,0.38095238095238093,0.3333333333333333,0.456043956043956,0.5983606557377049,0.9722650999319725
cnn,fold_3,Bear,30,20,10,0.3333333333333333,0.7278758033264184,0.6552855119522805,0.7773394420723612,0.3390148073002204,0.2836154794280635,0.38425125817441624,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.6229508196721312,1.0575752999866368
cnn,fold_4,Bull,30,25,5,0.16666666666666666,0.750078555709137,0.7345455311711184,0.8200309834512611,0.3620601346238364,0.2808694703936607,0.4216528264727167,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.6557377049180327,0.9659942999714968
cnn,fold_4,Sideway,30,25,5,0.16666666666666666,0.7472250969508708,0.7260747654041815,0.8534865112537564,0.3011919199262444,0.2618159347831115,0.3708830517379824,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.639344262295082,0.972992899973177
cnn,fold_4,Bear,30,20,10,0.3333333333333333,0.7928116245948019,0.5780139419349333,0.8606229493118587,0.3138050564898007,0.24822632930298955,0.3805469547718103,0.3333333333333333,0.25,0.4285714285714285,0.6598360655737705,0.9514094000187455
lstm,fold_1,Bull,30,0,30,1.0,0.1556944633260459,0.14229329898264567,0.1772897498436059,,,,,,,,1.719319700030609
lstm,fold_1,Sideway,30,0,30,1.0,0.14371696826873495,0.12469348249948622,0.21658266865123463,,,,,,,,1.6611831999907727
lstm,fold_1,Bear,30,0,30,1.0,0.18768984489868254,0.1543910463707939,0.23481090472684593,,,,,,,,1.5589448999526203
lstm,fold_2,Bull,30,0,30,1.0,0.2044410431329401,0.16711840199000738,0.233566919776187,,,,,,,,1.1651801000552937
lstm,fold_2,Sideway,30,0,30,1.0,0.22549348121702675,0.18832656146683913,0.2857226339809933,,,,,,,,1.1343692999944315
lstm,fold_2,Bear,30,0,30,1.0,0.33734554547144835,0.2238618373066183,0.6386035431812515,,,,,,,,1.2550288999773316
lstm,fold_3,Bull,30,5,25,0.8333333333333334,0.4420429108320486,0.3023205051093434,0.5492325980522501,0.4074766787499876,0.3954352143440144,0.4455242696309906,0.3333333333333333,0.25,0.3333333333333333,0.6639344262295082,1.2199231999838946
lstm,fold_3,Sideway,30,11,19,0.6333333333333333,0.6856760473907891,0.5921124549136705,0.7203719655729217,0.3911724566371798,0.3322604842360576,0.4250465103214912,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.680327868852459,1.164256499992915
lstm,fold_3,Bear,30,21,9,0.3,0.7374996128416463,0.663930474174441,0.7878984476545909,0.4361990740893725,0.4132991431526563,0.4677831346800122,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6639344262295082,1.1571589000377558
