model,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
cnn,Bull,120,30,90,0.75,0.2756891800998792,0.16802066773533997,0.673812234762228,0.3611844518390991,0.2849025678984604,0.3888609845318071,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.6475409836065574,4.163840000051999
cnn,Sideway,120,33,87,0.725,0.5088637913731955,0.1899617973257736,0.712701454988418,0.3011919199262444,0.2681472865399295,0.3555106882866688,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6147540983606558,4.216774999935291
cnn,Bear,120,40,80,0.6666666666666666,0.5237577453918756,0.22704550950953323,0.743052517007987,0.32829843269303843,0.254916215332049,0.3840959483975005,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6352459016393444,4.239282199996518
lstm,Bull,120,29,91,0.7583333333333333,0.2840230926387465,0.170663282143819,0.6684530407604163,0.40949901031323,0.3533099157031402,0.4828316607241401,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6639344262295082,5.283682800116361
lstm,Sideway,120,35,85,0.7083333333333334,0.5334306486000326,0.2007568396618997,0.7089898552195626,0.3900357212486906,0.28971221428783855,0.4370846702641258,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6557377049180327,5.1256715999479585
lstm,Bear,120,41,79,0.6583333333333333,0.5179218789576858,0.2338386633145716,0.7412973214324983,0.4332514927913132,0.3937235023346033,0.4631502770792509,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.6721311475409836,5.123667599968025
lstm_attention,Bull,120,30,90,0.75,0.2613143696068664,0.16517565400287376,0.6619511444919453,0.34214082961856573,0.3140380211551742,0.38245858681320855,0.3333333333333333,0.3333333333333333,0.510989010989011,0.6516393442622951,9.25055920000886
lstm_attention,Sideway,120,32,88,0.7333333333333333,0.5154034958111633,0.19465674600133134,0.71129336340166,0.3199447493729781,0.27722960402615815,0.36604531741022595,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6475409836065574,9.171395599987584
lstm_attention,Bear,120,40,80,0.6666666666666666,0.5112304468062966,0.2171898228482247,0.7316838372277226,0.30810155276732276,0.2579001457268332,0.36601888170351693,0.4285714285714285,0.25,0.456043956043956,0.639344262295082,9.065569999904252
lstm_cnn,Bull,120,30,90,0.75,0.25939880050285424,0.1646886682382734,0.6715391100947232,0.3587193221884799,0.31974482934099085,0.4307830586773555,0.3333333333333333,0.2708333333333333,0.4047619047619047,0.6639344262295082,13.241256699984657
lstm_cnn,Sideway,120,34,86,0.7166666666666667,0.5117740393714308,0.18902397416902414,0.7120333370507665,0.3429867722332554,0.2670336823948106,0.3683204404188737,0.29166666666666663,0.19485294117647056,0.3333333333333333,0.6352459016393444,12.829962599993447
lstm_cnn,Bear,120,40,80,0.6666666666666666,0.5198509314032609,0.21806267714025998,0.7455840670257032,0.3255887727553606,0.2647750817028561,0.3712250636935308,0.25,0.1764705882352941,0.3333333333333333,0.6352459016393444,12.241760899967627
lstm_cnn_attention,Bull,120,27,93,0.775,0.2469712982059189,0.16502892607866437,0.662305873089301,0.2601901388205048,0.21377234230274827,0.30082512449565624,0.3333333333333333,0.25,0.4285714285714285,0.6557377049180327,15.662163600049096
lstm_cnn_attention,Sideway,120,30,90,0.75,0.4890161035124792,0.17558894637140093,0.6995644465536727,0.2548930840886786,0.18855433033398208,0.28663906338291123,0.3333333333333333,0.25,0.3333333333333333,0.6311475409836066,15.591057199897474
lstm_cnn_attention,Bear,120,36,84,0.7,0.5063856618544015,0.20164899129452493,0.7328185696280923,0.2575630904662928,0.21106268236507042,0.2994603811368014,0.3333333333333333,0.25,0.4285714285714285,0.6434426229508197,14.847576199957981
