model,contrast,treatment_arm,control_arm,metric,test_years,point_estimate,ci95_lower,ci95_upper,two_sided_pvalue,replicates,block_length,folds,daily_rows,two_sided_pvalue_holm
lstm,global_shap_reduction,Global-SHAP,Global-All,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
lstm,global_shap_reduction,Global-SHAP,Global-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
lstm,global_shap_specificity,Global-SHAP,Global-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
lstm,global_shap_specificity,Global-SHAP,Global-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
lstm,regime_shap_reduction,Regime-SHAP,Regime-All,squared_error_loss_delta,"2022,2023,2024,2025",23.848780512594175,8.10641269323951,40.02190393118617,0.0018,10000,10,4,962,0.009
lstm,regime_shap_reduction,Regime-SHAP,Regime-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-0.10131896903259069,-1.7399328288433205,1.5299190701649372,0.9054,10000,10,4,960,1.0
lstm,regime_shap_specificity,Regime-SHAP,Regime-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",45.36100510629221,21.664671261195377,71.84368093180277,0.0,10000,10,4,962,0.0
lstm,regime_shap_specificity,Regime-SHAP,Regime-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-0.6039857045502605,-3.7236041965169484,2.6348089480030303,0.7026,10000,10,4,960,1.0
lstm,regime_routing,Regime-All,Global3-All,squared_error_loss_delta,"2022,2023,2024,2025",15.228718901348916,-10.675092467181608,42.53594990551688,0.2652,10000,10,4,962,0.2652
lstm,regime_routing,Regime-All,Global3-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-1.941138457485685,-5.504853883401326,1.4922707380819513,0.2738,10000,10,4,960,1.0
cnn,global_shap_reduction,Global-SHAP,Global-All,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
cnn,global_shap_reduction,Global-SHAP,Global-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
cnn,global_shap_specificity,Global-SHAP,Global-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
cnn,global_shap_specificity,Global-SHAP,Global-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
