model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
cnn,global_shap_reduction,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_reduction,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_reduction,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_reduction,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_reduction,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_reduction,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_reduction,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_reduction,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_reduction,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_reduction,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_reduction,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_reduction,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_reduction,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_reduction,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_reduction,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_reduction,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_reduction,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_reduction,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_reduction,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_reduction,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_reduction,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_reduction,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_reduction,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_reduction,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_reduction,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_specificity,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_specificity,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_specificity,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_specificity,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
cnn,global_shap_specificity,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_specificity,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_specificity,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_specificity,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_specificity,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm,global_shap_specificity,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_specificity,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_specificity,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_specificity,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_specificity,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_attention,global_shap_specificity,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_specificity,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_specificity,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_specificity,mcc_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_specificity,rmse_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn,global_shap_specificity,mae_delta,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_specificity,balanced_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
lstm_cnn_attention,global_shap_specificity,direction_accuracy_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,1.0,0.125
