model,fold,arm,test_year,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,Global-All,2022,5,241,18.820910067412697,14.873038869909227,1.513309432391075,0.2848942547237415,0.5083333333333333,0.499754058042302,-0.0004952360416314818,1.0,240,1,0,45,62,56,77,0.5791666666666667
cnn,fold_1,Global3-All,2022,5,241,21.166004001313436,16.951409944358883,1.7248188674931875,0.09558704211133306,0.5125,0.49163797343826854,-0.01800069792096472,1.0,240,1,0,32,75,42,91,0.6916666666666667
cnn,fold_1,Global-SHAP,2022,5,241,18.820910067412697,14.873038869909227,1.513309432391075,0.2848942547237415,0.5083333333333333,0.499754058042302,-0.0004952360416314818,1.0,240,1,0,45,62,56,77,0.5791666666666667
cnn,fold_1,Global-Spearman,2022,5,241,18.820910067412697,14.873038869909227,1.513309432391075,0.2848942547237415,0.5083333333333333,0.499754058042302,-0.0004952360416314818,1.0,240,1,0,45,62,56,77,0.5791666666666667
cnn,fold_1,Regime-All,2022,5,241,19.44416759123157,14.716846971238798,1.5075891874569218,0.23674837160150597,0.5708333333333333,0.5652800224861219,0.13068407509061197,1.0,240,1,0,55,52,51,82,0.5583333333333333
cnn,fold_1,Regime-SHAP,2022,5,241,17.031842638409685,12.869813664515469,1.3187306183118157,0.41438485467627584,0.5791666666666667,0.5746258168786451,0.14912070894941487,1.0,240,1,0,57,50,51,82,0.55
cnn,fold_1,Regime-Spearman,2022,5,241,14.863987848999974,11.233598461451868,1.1484592809948593,0.5539744766330874,0.5875,0.5830581125711475,0.16597050657081766,1.0,240,1,0,58,49,50,83,0.55
cnn,fold_2,Global-All,2023,5,243,17.21074403866364,14.099039346455545,1.5114926992354392,0.8503802057830854,0.5413223140495868,0.5385827850877193,0.0774179933886195,1.0,242,1,0,75,53,58,56,0.45041322314049587
cnn,fold_2,Global3-All,2023,5,243,17.95656859878021,14.835829988664075,1.5917647306368945,0.8371317388971603,0.5495867768595041,0.548314144736842,0.09658527518343125,1.0,242,1,0,73,55,54,60,0.47520661157024796
cnn,fold_2,Global-SHAP,2023,5,243,17.21074403866364,14.099039346455545,1.5114926992354392,0.8503802057830854,0.5413223140495868,0.5385827850877193,0.0774179933886195,1.0,242,1,0,75,53,58,56,0.45041322314049587
cnn,fold_2,Global-Spearman,2023,5,243,17.21074403866364,14.099039346455545,1.5114926992354392,0.8503802057830854,0.5413223140495868,0.5385827850877193,0.0774179933886195,1.0,242,1,0,75,53,58,56,0.45041322314049587
cnn,fold_2,Regime-All,2023,5,243,19.174713682782354,14.773251695342509,1.5938743991149917,0.8142847628809874,0.5371900826446281,0.53515625,0.07038972407599355,1.0,242,1,0,73,55,57,57,0.4628099173553719
cnn,fold_2,Regime-SHAP,2023,5,243,16.418645062341575,12.659014276218015,1.3660204169617747,0.86383534487996,0.5413223140495868,0.540501644736842,0.08091184953646534,1.0,242,1,0,71,57,54,60,0.4834710743801653
cnn,fold_2,Regime-Spearman,2023,5,243,20.63133082071677,15.899606258396243,1.716371736822802,0.7849971347784497,0.5371900826446281,0.5356359649122807,0.0712719298245614,1.0,242,1,0,72,56,56,58,0.47107438016528924
cnn,fold_3,Global-All,2024,5,244,22.688572296805376,18.870831335919835,2.2220217353627514,0.7345487538478843,0.5122950819672131,0.5291405881957063,0.10165652809401098,1.0,244,0,0,15,112,7,110,0.9098360655737705
cnn,fold_3,Global3-All,2024,5,244,23.55297932788508,19.502767929798292,2.299416163808305,0.713936706995576,0.5122950819672131,0.5288040917962178,0.09664113281676172,1.0,244,0,0,16,111,8,109,0.9016393442622951
cnn,fold_3,Global-SHAP,2024,5,244,22.688572296805376,18.870831335919835,2.2220217353627514,0.7345487538478843,0.5122950819672131,0.5291405881957063,0.10165652809401098,1.0,244,0,0,15,112,7,110,0.9098360655737705
cnn,fold_3,Global-Spearman,2024,5,244,22.688572296805376,18.870831335919835,2.2220217353627514,0.7345487538478843,0.5122950819672131,0.5291405881957063,0.10165652809401098,1.0,244,0,0,15,112,7,110,0.9098360655737705
cnn,fold_3,Regime-All,2024,5,244,17.11227001005811,13.399135991114106,1.5742513055993996,0.8489969635673372,0.5040983606557377,0.516892119254324,0.04315165081786701,1.0,244,0,0,26,101,20,97,0.8114754098360656
cnn,fold_3,Regime-SHAP,2024,5,244,18.617520480898403,14.79990802029509,1.7212073503166885,0.8212631447994593,0.5245901639344263,0.532875698230029,0.07173651706931837,1.0,244,0,0,42,85,31,86,0.7008196721311475
cnn,fold_3,Regime-Spearman,2024,5,244,16.217787203165067,12.889142112984043,1.4984507198378147,0.8643706666210487,0.5081967213114754,0.5161181775355004,0.03490331992710259,1.0,244,0,0,41,86,34,83,0.6926229508196722
cnn,fold_4,Global-All,2025,5,234,24.602593339527054,19.072767893360226,2.47176274363586,0.7663420918376593,0.5512820512820513,0.5557017543859649,0.11850774369052149,1.0,234,0,0,46,74,31,83,0.6709401709401709
cnn,fold_4,Global3-All,2025,5,234,23.42735812501835,18.57933011030182,2.396690811337105,0.7881320126465537,0.5256410256410257,0.5287280701754387,0.05915623055753967,1.0,234,0,0,49,71,40,74,0.6196581196581197
cnn,fold_4,Global-SHAP,2025,5,234,24.602593339527054,19.072767893360226,2.47176274363586,0.7663420918376593,0.5512820512820513,0.5557017543859649,0.11850774369052149,1.0,234,0,0,46,74,31,83,0.6709401709401709
cnn,fold_4,Global-Spearman,2025,5,234,24.602593339527054,19.072767893360226,2.47176274363586,0.7663420918376593,0.5512820512820513,0.5557017543859649,0.11850774369052149,1.0,234,0,0,46,74,31,83,0.6709401709401709
cnn,fold_4,Regime-All,2025,5,234,20.66936509076953,16.404205493244884,2.1032071397778367,0.835080131099333,0.5,0.5054824561403509,0.012124185527604409,1.0,234,0,0,35,85,32,82,0.7136752136752137
cnn,fold_4,Regime-SHAP,2025,5,234,26.60766750468149,21.081601454013533,2.6995086756722038,0.726704602588143,0.5256410256410257,0.5331140350877193,0.08135818374793703,1.0,234,0,0,29,91,20,94,0.7905982905982906
cnn,fold_4,Regime-Spearman,2025,5,234,20.742531580251608,16.896207287072404,2.1614634042866343,0.8339104807688016,0.49145299145299143,0.4984649122807017,-0.0036663086163222962,1.0,234,0,0,27,93,26,88,0.7735042735042735
lstm,fold_1,Global-All,2022,5,241,11.194413476202588,8.529193671084041,0.8698822317995223,0.7470167799377845,0.5416666666666666,0.5554072096128171,0.11352725932757449,1.0,240,1,0,73,34,76,57,0.37916666666666665
lstm,fold_1,Global3-All,2022,5,241,10.009635723576007,7.861778722355474,0.8012101160199984,0.7977327482764152,0.5458333333333333,0.5564261120089944,0.11412232780536175,1.0,240,1,0,70,37,72,61,0.4083333333333333
lstm,fold_1,Global-SHAP,2022,5,241,11.194413476202588,8.529193671084041,0.8698822317995223,0.7470167799377845,0.5416666666666666,0.5554072096128171,0.11352725932757449,1.0,240,1,0,73,34,76,57,0.37916666666666665
lstm,fold_1,Global-Spearman,2022,5,241,11.194413476202588,8.529193671084041,0.8698822317995223,0.7470167799377845,0.5416666666666666,0.5554072096128171,0.11352725932757449,1.0,240,1,0,73,34,76,57,0.37916666666666665
