inference_type,model,contrast,metric,point_estimate,ci95_lower,ci95_upper,raw_pvalue,holm_adjusted_pvalue
four_fold_exact_sign_flip,cnn,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_reduction,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_reduction,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_reduction,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_reduction,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_reduction,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_reduction,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_reduction,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_reduction,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_reduction,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_reduction,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_reduction,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_reduction,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_reduction,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_reduction,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_reduction,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_reduction,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_reduction,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_reduction,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_reduction,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_reduction,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_specificity,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_specificity,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_specificity,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,global_shap_specificity,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_specificity,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_specificity,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_specificity,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm,global_shap_specificity,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_specificity,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_specificity,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_specificity,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_attention,global_shap_specificity,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_specificity,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_specificity,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_specificity,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,global_shap_specificity,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_specificity,direction_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_specificity,mcc_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_specificity,rmse_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,global_shap_specificity,mae_delta,0.0,0.0,0.0,1.0,1.0
four_fold_exact_sign_flip,cnn,regime_shap_reduction,balanced_accuracy_delta_pp,1.4576586763109662,-0.0932426323660196,3.008559984987952,0.125,0.625
four_fold_exact_sign_flip,cnn,regime_shap_reduction,direction_accuracy_delta_pp,1.4649598414501586,-0.14065986682426956,3.0705795497245867,0.125,0.625
four_fold_exact_sign_flip,cnn,regime_shap_reduction,mcc_delta,0.03169440594776467,-0.00982934610572174,0.07321815800125107,0.125,0.625
four_fold_exact_sign_flip,cnn,regime_shap_reduction,rmse_delta,0.5687898278723971,-5.904598077909315,7.042177733654109,0.875,1.0
four_fold_exact_sign_flip,cnn,regime_shap_reduction,mae_delta,0.5292243160254526,-4.552852282363855,5.611300914414761,0.875,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,balanced_accuracy_delta_pp,-0.10131896903258913,-1.7513107901514924,1.5486728520863142,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,direction_accuracy_delta_pp,-0.0937018355051153,-1.45853596938261,1.2711322983723794,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,mcc_delta,-0.0015263614711395236,-0.03570405160448013,0.03265132866220109,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,rmse_delta,0.8984149828142782,-0.3663970798149234,2.16322704544348,0.25,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,mae_delta,0.5579826384103341,-0.347549091003327,1.4635143678239952,0.25,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,balanced_accuracy_delta_pp,-1.0347683501754912,-2.190779092794997,0.12124239244401469,0.125,0.625
