model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,123,Global-All,20,1,1,0,5.3490175000042655,0.2085664000042015,12017,241,20.86540893957008,16.38384492832595,1.6662675240330624,0.1210931891784373,0.475,0.4779003583725669,-0.0440141028444622,1.0,240,1,0,54,53,73,60,0.4708333333333333
cnn,fold_1,2022,123,Global3-All,20,3,3,0,15.492232000004153,0.6008390000351937,36051,241,21.479681627522343,17.4419393423616,1.7747906966383231,0.0685818250690754,0.4833333333333333,0.4634951865645421,-0.0777425306325204,1.0,240,1,0,30,77,47,86,0.6791666666666667
cnn,fold_1,2022,123,Global-SHAP,20,1,0,1,5.3490175000042655,0.2085664000042015,12017,241,20.86540893957008,16.38384492832595,1.6662675240330624,0.1210931891784373,0.475,0.4779003583725669,-0.0440141028444622,1.0,240,1,0,54,53,73,60,0.4708333333333333
cnn,fold_1,2022,123,Global-Spearman,20,1,0,1,5.3490175000042655,0.2085664000042015,12017,241,20.86540893957008,16.38384492832595,1.6662675240330624,0.1210931891784373,0.475,0.4779003583725669,-0.0440141028444622,1.0,240,1,0,54,53,73,60,0.4708333333333333
cnn,fold_1,2022,123,Regime-All,20,3,3,0,9.11301440000534,0.5609882999851834,36051,241,18.77806965979394,15.06596473226903,1.5368455541907524,0.2881460162092391,0.5416666666666666,0.554493710912796,0.1111972243752629,1.0,240,1,0,72,35,75,58,0.3875
cnn,fold_1,2022,123,Regime-SHAP,20,3,2,1,8.892621999999392,0.5639549999905284,23187,241,22.6180002832728,16.855994727027856,1.726467173182273,-0.0327553146971999,0.55,0.5702339962054669,0.1495739352592958,1.0,240,1,0,81,26,82,51,0.3208333333333333
cnn,fold_1,2022,123,Regime-Spearman,20,3,2,1,8.87804059998598,0.5904737999953795,23187,241,20.83889804911084,15.807340810051594,1.6169595972750246,0.1233251894972665,0.5458333333333333,0.5683015951092685,0.1481691065717306,1.0,240,1,0,83,24,85,48,0.3
cnn,fold_1,2022,2025,Global-All,20,1,1,0,5.398334199999226,0.1859442999993916,12017,241,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,240,1,0,16,91,28,105,0.8166666666666667
cnn,fold_1,2022,2025,Global3-All,20,3,3,0,15.721679400012365,0.5720840999856591,36051,241,24.29175763780481,20.07879254968336,2.043497706874552,-0.191260954076633,0.5125,0.4788489916379734,-0.0534193994285506,1.0,240,1,0,18,89,28,105,0.8083333333333333
cnn,fold_1,2022,2025,Global-SHAP,20,1,0,1,5.398334199999226,0.1859442999993916,12017,241,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,240,1,0,16,91,28,105,0.8166666666666667
cnn,fold_1,2022,2025,Global-Spearman,20,1,0,1,5.398334199999226,0.1859442999993916,12017,241,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,240,1,0,16,91,28,105,0.8166666666666667
cnn,fold_1,2022,2025,Regime-All,20,3,3,0,8.982464599990635,0.5296039999957429,36051,241,25.0538460303379,20.65677443579517,2.1098694247958947,-0.2671786189670593,0.4666666666666667,0.506921509380929,0.0205160867546804,1.0,240,1,0,94,13,115,18,0.1291666666666666
cnn,fold_1,2022,2025,Regime-SHAP,20,3,2,1,8.949210800012224,0.5404822999989847,23187,241,18.967686212254527,16.041569039376434,1.6323058420140764,0.273697162264115,0.5083333333333333,0.5390345021432085,0.0935486687327715,1.0,240,1,0,88,19,99,34,0.2208333333333333
cnn,fold_1,2022,2025,Regime-Spearman,20,3,2,1,9.231215199979488,0.5362213000189513,23187,241,16.037345823334455,13.681465838222575,1.390791701251931,0.4807768868517096,0.5208333333333334,0.5375237158316352,0.0782080758621836,1.0,240,1,0,74,33,82,51,0.35
cnn,fold_1,2022,42,Global-All,20,1,1,0,5.266495800009579,0.1940897000022232,12017,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.1151694020553966,0.5166666666666667,0.4807813927341718,-0.0507634523812258,1.0,240,1,0,16,91,25,108,0.8291666666666667
