seed,train_log_likelihood,converged,iterations,runtime_seconds,delta_log_likelihood_from_best,adjusted_rand_vs_selected,fold,selected
42,-4583.614935469953,True,156,2.5002914000033343,-991.6071314707237,0.2654024255139874,fold_1,False
123,-3592.007809014575,True,48,0.24041569999826606,-5.0153457777923904e-06,1.0,fold_1,False
456,-3592.0078081834336,True,72,0.3400656000012532,-4.184204499324551e-06,1.0,fold_1,False
789,-3592.007803999229,True,141,0.6504020000029413,0.0,1.0,fold_1,True
2025,-3592.0078191708685,True,77,0.38138310000067577,-1.5171639461186714e-05,1.0,fold_1,False
42,-4960.2727203018885,True,106,0.5334978999999294,-1016.852723368338,0.18004537555371986,fold_2,False
123,-3947.11102160345,True,37,0.20527840000067954,-3.6910246698994342,0.7961954329873446,fold_2,False
456,-3943.4199969335505,True,50,0.2813356000006024,0.0,1.0,fold_2,True
789,-3951.522168296241,True,28,0.17684590000135358,-8.10217136269057,0.5231193507345414,fold_2,False
2025,-3951.522176880485,True,35,0.200148399999307,-8.102179946934484,0.5231193507345414,fold_2,False
42,-5454.748614623996,True,151,0.844179499999882,-1101.0981215635675,0.1979378766922671,fold_3,False
123,-4353.650780536188,True,51,0.2734290999978839,-0.00028747575925081037,0.9987220094063041,fold_3,False
456,-4353.650493060429,True,81,0.4299890999973286,0.0,1.0,fold_3,True
789,-4353.650764837507,True,52,0.2935787000023993,-0.00027177707852388266,0.9987220094063041,fold_3,False
2025,-4353.650504450841,True,93,0.4984583000004932,-1.139041251008166e-05,1.0,fold_3,False
42,-5865.230000944004,True,144,0.7945715000023483,-1079.0322448051847,0.23379748781327697,fold_4,False
123,-4786.197756138819,True,49,0.3045482000015909,0.0,1.0,fold_4,True
456,-4790.720146902899,True,30,0.20015319999947678,-4.522390764079319,0.7895871331551325,fold_4,False
789,-4826.538658842022,True,56,0.34627659999750904,-40.34090270320303,0.3978931924906023,fold_4,False
2025,-4790.72014175516,True,39,0.24416270000074292,-4.522385616340216,0.7895871331551325,fold_4,False
