fold,from_regime,to_regime,probability
fold_1,bull,bull,0.9860120828135256
fold_1,bull,sideway,3.3430655373440366e-95
fold_1,bull,bear,0.013987917186474394
fold_1,sideway,bull,4.83922725968234e-86
fold_1,sideway,sideway,0.9758036571088679
fold_1,sideway,bear,0.02419634289113212
fold_1,bear,bull,0.018698077838164115
fold_1,bear,sideway,0.009590659557431904
fold_1,bear,bear,0.9717112626044039
fold_2,bull,bull,0.9844409970315853
fold_2,bull,sideway,2.0432639000924176e-130
fold_2,bull,bear,0.01555900296841461
fold_2,sideway,bull,2.982305062747641e-116
fold_2,sideway,sideway,0.9773857421589817
fold_2,sideway,bear,0.022614257841018268
fold_2,bear,bull,0.013355393523883131
fold_2,bear,sideway,0.00717254354123386
fold_2,bear,bear,0.9794720629348829
fold_3,bull,bull,0.9820518249690785
fold_3,bull,sideway,1.591607265547247e-207
fold_3,bull,bear,0.01794817503092148
fold_3,sideway,bull,2.610397697574017e-195
fold_3,sideway,sideway,0.97663846372472
fold_3,sideway,bear,0.02336153627528001
fold_3,bear,bull,0.020122278953594704
fold_3,bear,sideway,0.007300443143501513
fold_3,bear,bear,0.9725772779029037
fold_4,bull,bull,0.9823183433831315
fold_4,bull,sideway,0.0005805347692205914
fold_4,bull,bear,0.01710112184764792
fold_4,sideway,bull,0.001985530563993871
fold_4,sideway,sideway,0.974518776947722
fold_4,sideway,bear,0.02349569248828413
fold_4,bear,bull,0.024180397948058926
fold_4,bear,sideway,0.007705128459433115
fold_4,bear,bear,0.9681144735925079
