model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
cnn,fold_1,bear,Open_D,0.01661309721426246,0.8016528925619835,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_D,0.08282380625262308,0.33884297520661155,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_D,0.10428685835944727,0.3140495867768595,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D,7.330969515528817,0.0,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D,0.008655421147300594,0.9256198347107438,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D,0.04362949003954945,0.512396694214876,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Open_W,0.12497760424839259,0.2892561983471074,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_W,0.5208486114461452,0.03305785123966942,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_W,0.27031621837104935,0.1322314049586777,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_W,0.14945159571197553,0.2727272727272727,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_W,0.039147385196249676,0.5619834710743802,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_W,0.011890886796228328,0.8677685950413223,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Open_M,0.06205023056036109,0.4380165289256198,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_M,0.16975547071450797,0.2396694214876033,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_M,0.06639258421491831,0.4132231404958678,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_M,0.21923352745481026,0.18181818181818182,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_M,0.005027888863722369,0.9834710743801653,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_M,0.1516142448638605,0.2644628099173554,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag1,0.5219806253814544,0.024793388429752067,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag2,0.06435232834818845,0.4297520661157025,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag3,0.20228660463188322,0.2066115702479339,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag5,0.24013385337610274,0.15702479338842976,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag10,0.04192018691788596,0.5537190082644629,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag20,0.5538985916914848,0.008264462809917356,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag60,0.4787806069030641,0.04132231404958678,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag1,0.0045668992089391534,0.9917355371900827,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag2,0.024012467961361167,0.7355371900826446,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag3,0.01614901002619018,0.8099173553719008,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag5,0.009467787150885133,0.9173553719008265,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag10,0.03349087757261049,0.6198347107438017,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag20,0.015202310996207813,0.8181818181818182,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag1,0.011313013005555825,0.8842975206611571,78,78,1598879163,200,1.0483956999960355,none
