model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
cnn,fold_2,bull,Open_D,0.09614546637657392,0.36363636363636365,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,High_D,0.10674422486966532,0.32231404958677684,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Low_D,0.10850840211404782,0.2975206611570248,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D,6.687241147620309,0.0,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D,0.024877606368949944,0.6859504132231405,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D,0.024940966533790444,0.6694214876033058,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Open_W,0.07283915538389824,0.4462809917355372,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,High_W,0.12684763045981526,0.21487603305785125,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Low_W,0.17290752517721175,0.1322314049586777,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_W,0.08144239025821566,0.4297520661157025,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_W,0.05312048502470062,0.5041322314049587,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_W,0.013435161458512,0.8429752066115702,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Open_M,0.010610981053028767,0.8760330578512396,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,High_M,0.06122012988933803,0.47107438016528924,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Low_M,0.14321974817221086,0.19008264462809918,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_M,0.012326059171794225,0.859504132231405,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_M,0.008781960963125656,0.9256198347107438,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_M,0.07766722749954505,0.4380165289256198,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag1,0.2669599786290507,0.024793388429752067,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag2,0.09149952213843598,0.371900826446281,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag3,0.23410232767070593,0.03305785123966942,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag5,0.15657712166736784,0.1487603305785124,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag10,0.12159082498891573,0.23140495867768596,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag20,0.30558288539759815,0.008264462809917356,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_D_lag60,0.2082511627486,0.049586776859504134,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag1,0.009563816530402093,0.9090909090909091,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag2,0.025843888874926568,0.6528925619834711,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag3,0.004593595514199484,0.9669421487603306,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag5,0.015549700712223344,0.8016528925619835,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag10,0.00805272913620157,0.9504132231404959,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Change_pct_D_lag20,0.014892757299465804,0.8181818181818182,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag1,0.024940513137111833,0.6776859504132231,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag2,0.023937071512477665,0.6942148760330579,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag3,0.03522319915535646,0.5867768595041323,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag5,0.0010802189238873345,1.0,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag10,0.00995779626587735,0.9008264462809917,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volume_D_lag20,0.013576930792054267,0.8347107438016529,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_W_lag1,0.2669703228105056,0.01652892561983471,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_W_lag2,0.1163980812018149,0.24793388429752067,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_W_lag4,0.10750910922100669,0.3140495867768595,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_M_lag1,0.11243320414857742,0.2727272727272727,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_M_lag3,0.04552716118081375,0.5206611570247934,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_1D,0.010217718501512176,0.8842975206611571,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_3D,0.01020803639235414,0.8925619834710744,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_5D,0.0033657964035587557,0.9834710743801653,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_10D,0.011813024779285279,0.8677685950413223,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_20D,0.03314930608398395,0.5950413223140496,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Return_60D,0.12062739778317923,0.2396694214876033,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,SMA_5,0.20360752260067352,0.05785123966942149,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,SMA_10,0.20258884068676516,0.06611570247933884,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,SMA_20,0.13105618224822377,0.19834710743801653,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,SMA_60,0.1978917595048092,0.0743801652892562,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_to_SMA_5,0.029405273764383597,0.6363636363636364,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_to_SMA_10,0.017070514669679047,0.768595041322314,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_to_SMA_20,0.04738662887356632,0.512396694214876,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_to_SMA_60,0.021482769223199753,0.71900826446281,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volatility_5,0.02117939595531018,0.7272727272727273,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volatility_10,0.09770939826217057,0.35537190082644626,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volatility_20,0.0323203782675352,0.6033057851239669,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Volatility_60,0.11348941451192571,0.2644628099173554,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Momentum_5,0.08198848064017679,0.4214876033057851,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Momentum_10,0.05718596139770757,0.4793388429752066,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Momentum_20,0.0380293202981097,0.5785123966942148,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Momentum_60,0.01590304448278099,0.7933884297520661,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,ROC_5,0.014042087140220054,0.8264462809917356,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,ROC_10,0.04379287149179941,0.5454545454545454,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,ROC_20,0.008410492111644137,0.9421487603305785,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,ROC_60,0.022788540060240562,0.7024793388429752,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Ratio_Close_D_to_W,0.0013797835838751755,0.9917355371900827,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Ratio_Close_D_to_M,0.017733433234252517,0.7603305785123967,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Ratio_Volume_D_to_W,0.015008504548213272,0.8099173553719008,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Spread_D,0.020620039903443094,0.7355371900826446,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Body_D,0.0416264395541858,0.5619834710743802,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Body_abs_D,0.021833691583560723,0.7107438016528925,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Upper_Shadow_D,0.030975631799011402,0.6115702479338843,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Lower_Shadow_D,0.00878015282157701,0.9338842975206612,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Body_to_Range_D,0.18260804938701383,0.10743801652892562,76,76,2027450880,200,1.0706491000019014,none
cnn,fold_2,bull,Close_Position_D,0.17627043971625475,0.12396694214876033,76,76,2027450880,200,1.0706491000019014,none
