model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
cnn,fold_3,sideway,Open_D,0.11123511723748379,0.36363636363636365,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,High_D,0.04531529678159132,0.6942148760330579,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Low_D,0.12577722876192637,0.32231404958677684,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D,5.9120807312545365,0.0,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D,0.05363709911868227,0.628099173553719,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D,0.012390031098637734,0.9752066115702479,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Open_W,0.1052010536029411,0.371900826446281,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,High_W,0.056455232839066415,0.6033057851239669,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Low_W,0.23404278408459503,0.11570247933884298,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_W,0.18931037434951578,0.18181818181818182,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_W,0.12163786791093913,0.35537190082644626,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_W,0.04167134424458254,0.71900826446281,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Open_M,0.021540877113563964,0.8677685950413223,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,High_M,0.12598309410514047,0.3140495867768595,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Low_M,0.09698443027740496,0.4132231404958678,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_M,0.09692997657941305,0.4214876033057851,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_M,0.0583016134901078,0.5702479338842975,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_M,0.18959190534777007,0.17355371900826447,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag1,0.2788983876812563,0.06611570247933884,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag2,0.16959497207892127,0.2066115702479339,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag3,0.2564258377905935,0.0743801652892562,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag5,0.16712509049568325,0.2231404958677686,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag10,0.05277421957984188,0.6446280991735537,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag20,0.07549519806052558,0.512396694214876,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_D_lag60,0.16237718947093527,0.2396694214876033,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag1,0.04593669947356716,0.6776859504132231,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag2,0.04527623008801953,0.7024793388429752,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag3,0.010375075409190799,0.9917355371900827,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag5,0.022508036791683707,0.8512396694214877,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag10,0.019801400980176992,0.8925619834710744,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Change_pct_D_lag20,0.07569896610276118,0.5041322314049587,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag1,0.03939102064425356,0.7355371900826446,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag2,0.03796236545194006,0.743801652892562,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag3,0.06855204448370614,0.5454545454545454,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag5,0.04235822192016258,0.7107438016528925,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag10,0.017535433297436356,0.9256198347107438,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Volume_D_lag20,0.053772994382848084,0.6198347107438017,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_W_lag1,0.25560643679869827,0.08264462809917356,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_W_lag2,0.24722340567153878,0.10743801652892562,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_W_lag4,0.12480259652154928,0.33884297520661155,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_M_lag1,0.14243057927571498,0.2809917355371901,80,80,1707699335,200,1.1495234000030905,none
cnn,fold_3,sideway,Close_M_lag3,0.34675233589921844,0.04132231404958678,80,80,1707699335,200,1.1495234000030905,none
