model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm,fold_1,bear,Open_D,0.36774385874980514,0.4628099173553719,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,High_D,0.6171932992129885,0.32231404958677684,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Low_D,0.9863635197663918,0.18181818181818182,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D,26.95771400959064,0.0,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D,0.2019060285387707,0.6776859504132231,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D,0.12175064119543934,0.859504132231405,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Open_W,1.701402457173054,0.049586776859504134,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,High_W,1.7097639594322596,0.04132231404958678,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Low_W,0.7320044337007671,0.256198347107438,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_W,0.6470884009049489,0.2892561983471074,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_W,0.2346125725026165,0.628099173553719,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_W,0.19389504855767323,0.7107438016528925,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Open_M,1.2326911059709695,0.1322314049586777,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,High_M,2.4012321893985455,0.01652892561983471,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Low_M,1.089042097903215,0.15702479338842976,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_M,1.0502328153222036,0.17355371900826447,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_M,0.08184908734112516,0.9421487603305785,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_M,0.2304713806650864,0.6363636363636364,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag1,2.861880853924996,0.008264462809917356,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag2,1.0880210802536636,0.1652892561983471,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag3,0.9760547922207758,0.19008264462809918,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag5,1.1390158340716974,0.1487603305785124,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag10,0.6363290870036834,0.30578512396694213,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag20,0.6841537156416915,0.2644628099173554,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_D_lag60,1.3481226001794522,0.12396694214876033,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag1,0.07242268172129303,0.9586776859504132,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag2,0.18664127010292408,0.7272727272727273,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag3,0.13118699893485217,0.8264462809917356,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag5,0.17405786056672998,0.7603305785123967,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag10,0.13799331824232539,0.8099173553719008,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Change_pct_D_lag20,0.08985787873247411,0.9173553719008265,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag1,0.24824037004354743,0.6033057851239669,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag2,0.14842948550589752,0.8016528925619835,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag3,0.2741319746709241,0.5371900826446281,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag5,0.1947827201566468,0.7024793388429752,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag10,0.08405635351229696,0.9256198347107438,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Volume_D_lag20,0.0346997185485529,0.9752066115702479,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_W_lag1,1.7761475051824862,0.03305785123966942,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_W_lag2,1.3542768999934196,0.11570247933884298,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_W_lag4,1.3768551368261868,0.10743801652892562,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_M_lag1,1.6807476754565962,0.06611570247933884,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Close_M_lag3,0.6383729121814936,0.2975206611570248,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_1D,0.18624177882552315,0.7355371900826446,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_3D,0.10925784198462236,0.8760330578512396,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_5D,0.17235917636179904,0.768595041322314,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_10D,0.12523327660019276,0.8429752066115702,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_20D,0.42188286788504903,0.4132231404958678,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,Return_60D,0.36654917530130404,0.47107438016528924,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,SMA_5,0.9342763170792471,0.19834710743801653,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,SMA_10,0.22626406429701137,0.6528925619834711,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,SMA_20,1.6240035752455393,0.08264462809917356,78,78,524752461,200,0.8771731000015279,none
lstm,fold_1,bear,SMA_60,1.5242491937600648,0.09090909090909091,78,78,524752461,200,0.8771731000015279,none
