model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm,fold_1,global,Open_D,0.4485579762356565,0.35537190082644626,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,High_D,0.8127496305512978,0.2231404958677686,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Low_D,1.1511170795653016,0.1652892561983471,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D,35.094442925369364,0.0,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Volume_D,0.20452312778292595,0.628099173553719,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Change_pct_D,0.08201150773704739,0.9173553719008265,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Open_W,1.6629396413132782,0.08264462809917356,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,High_W,2.0131459346041085,0.04132231404958678,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Low_W,0.843010769796274,0.21487603305785125,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_W,0.7364243102842011,0.23140495867768596,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Volume_W,0.21568745906133416,0.6115702479338843,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Change_pct_W,0.18381159203199787,0.6694214876033058,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Open_M,1.193318948103115,0.1487603305785124,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,High_M,2.346422858489677,0.01652892561983471,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Low_M,1.0643958204891533,0.19834710743801653,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_M,1.1762562153220641,0.15702479338842976,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Volume_M,0.08829992615806077,0.9008264462809917,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Change_pct_M,0.17372152148913073,0.6942148760330579,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag1,3.4831765681505202,0.008264462809917356,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag2,1.3152091766313787,0.11570247933884298,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag3,1.0152651948854328,0.2066115702479339,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag5,1.2796955527272076,0.12396694214876033,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag10,0.6831500098807737,0.2396694214876033,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag20,0.5907533482601138,0.32231404958677684,244,128,26559019,200,2.0058411000063643,none
lstm,fold_1,global,Close_D_lag60,1.2768302188720555,0.1322314049586777,244,128,26559019,200,2.0058411000063643,none
