model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm,fold_2,bull,Open_D,0.07466945229067565,0.8842975206611571,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,High_D,0.7864660850215985,0.1322314049586777,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Low_D,0.9785281800910046,0.09917355371900827,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D,25.823087715632038,0.0,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D,0.18138007832657374,0.6363636363636364,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D,0.022607152370791913,0.9586776859504132,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Open_W,0.671181303792094,0.17355371900826447,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,High_W,0.782527964248469,0.1487603305785124,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Low_W,1.0933536549539942,0.08264462809917356,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_W,0.5587522910478966,0.2644628099173554,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_W,0.18636900845755774,0.628099173553719,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_W,0.0906859957989869,0.8512396694214877,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Open_M,0.4668860627240256,0.35537190082644626,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,High_M,1.3077295857432643,0.049586776859504134,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Low_M,0.5474789634129449,0.2892561983471074,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_M,0.31014899449854916,0.4132231404958678,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_M,0.09390910970833877,0.8429752066115702,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_M,0.23310991306264583,0.5206611570247934,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag1,2.5508386753107373,0.008264462809917356,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag2,1.0121861866185147,0.09090909090909091,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag3,0.7109630995283002,0.15702479338842976,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag5,0.5673582021891458,0.24793388429752067,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag10,0.6623634788942965,0.19008264462809918,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag20,0.3460255094264683,0.3884297520661157,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Close_D_lag60,0.5325278015121033,0.2975206611570248,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag1,0.0676107268089254,0.9008264462809917,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag2,0.1376066716317717,0.7107438016528925,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag3,0.13350824090586302,0.7272727272727273,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag5,0.11313790379939938,0.7520661157024794,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag10,0.049632723665318304,0.9421487603305785,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Change_pct_D_lag20,0.102603037784789,0.7933884297520661,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag1,0.19398916481398037,0.6198347107438017,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag2,0.14198752615499727,0.6942148760330579,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag3,0.2038608878543049,0.5867768595041323,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag5,0.09736218350054084,0.8099173553719008,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag10,0.022534884875600063,0.9669421487603306,76,76,31350957,200,0.9342023999925004,none
lstm,fold_2,bull,Volume_D_lag20,0.021238588113460296,0.9752066115702479,76,76,31350957,200,0.9342023999925004,none
