model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm,fold_3,sideway,Open_D,0.0781060847810113,0.9834710743801653,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,High_D,0.8636716441176395,0.1322314049586777,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Low_D,0.8529809737578035,0.1487603305785124,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D,22.147360941451044,0.0,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D,0.4109273890120994,0.4297520661157025,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D,0.2579608469170671,0.5785123966942148,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Open_W,0.8635777579527348,0.14049586776859505,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,High_W,0.7724398790486157,0.1652892561983471,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Low_W,0.8669625771123538,0.11570247933884298,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_W,0.3507580268468155,0.5206611570247934,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_W,0.3828109101592054,0.47107438016528924,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_W,0.1367185859444271,0.859504132231405,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Open_M,0.6221181163936853,0.256198347107438,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,High_M,0.8890854910016059,0.10743801652892562,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Low_M,0.700740660042502,0.19008264462809918,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_M,0.2577613498341816,0.5867768595041323,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_M,0.5319282688172189,0.2975206611570248,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_M,0.6680375347228256,0.21487603305785125,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag1,1.761355133363977,0.01652892561983471,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag2,0.9117282119730953,0.09090909090909091,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag3,0.6165604224940762,0.2644628099173554,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag5,0.5078387953760103,0.32231404958677684,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag10,0.39413343577332854,0.4462809917355372,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag20,0.3876557815930573,0.45454545454545453,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_D_lag60,0.5260351275140419,0.30578512396694213,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag1,0.21143204142413652,0.6942148760330579,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag2,0.2136285208033951,0.6859504132231405,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag3,0.24288726667566152,0.6115702479338843,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag5,0.09522210748998987,0.9173553719008265,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag10,0.17457249914072237,0.7768595041322314,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Change_pct_D_lag20,0.12784262035856955,0.8760330578512396,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag1,0.40200226228414976,0.4380165289256198,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag2,0.48095962632818556,0.34710743801652894,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag3,0.6751599056895066,0.2066115702479339,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag5,0.21996088553471055,0.6611570247933884,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag10,0.19719955665139424,0.7520661157024794,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Volume_D_lag20,0.08928450293695278,0.9586776859504132,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_W_lag1,1.0765909859520617,0.05785123966942149,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_W_lag2,1.1312968196940438,0.049586776859504134,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_W_lag4,0.8919564518958214,0.09917355371900827,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_M_lag1,0.3242568144775578,0.5289256198347108,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Close_M_lag3,0.6383720114530297,0.24793388429752067,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Return_1D,0.4457652081143897,0.36363636363636365,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Return_3D,0.413762179168275,0.4214876033057851,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Return_5D,0.08362264910633713,0.9669421487603306,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Return_10D,0.2052132054245885,0.7355371900826446,80,80,352746286,200,0.9845009999989998,none
lstm,fold_3,sideway,Return_20D,0.3769787928981896,0.48760330578512395,80,80,352746286,200,0.9845009999989998,none
