model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_attention,fold_1,global,Open_D,0.4927718859122251,0.06611570247933884,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,High_D,0.3535840133437887,0.1487603305785124,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Low_D,0.4603902018352528,0.08264462809917356,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D,17.767710507189566,0.0,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D,0.03237560167312399,0.8842975206611571,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D,0.03443061986351807,0.8512396694214877,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Open_W,0.2313939442401079,0.2644628099173554,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,High_W,0.6297580594924511,0.024793388429752067,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Low_W,0.23614878558718147,0.256198347107438,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_W,0.4076065501474659,0.11570247933884298,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_W,0.09548910621571735,0.5454545454545454,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_W,0.01942705268544125,0.9504132231404959,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Open_M,0.21040166956681788,0.2809917355371901,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,High_M,0.24021601173603813,0.2396694214876033,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Low_M,0.26315446866144754,0.2066115702479339,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_M,0.4728889453726879,0.0743801652892562,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_M,0.1517762991229688,0.371900826446281,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_M,0.04073418604259107,0.7851239669421488,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag1,0.3366260427712405,0.15702479338842976,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag2,0.09695419370587714,0.5371900826446281,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag3,0.23903833866156673,0.24793388429752067,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag5,0.3341522601956967,0.1652892561983471,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag10,0.3940944797954131,0.12396694214876033,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag20,0.20615390638722603,0.30578512396694213,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_D_lag60,0.2456828364170832,0.2231404958677686,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag1,0.05946095823671129,0.6859504132231405,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag2,0.08956881260183565,0.5867768595041323,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag3,0.05773829818190564,0.6942148760330579,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag5,0.11252736320193435,0.4793388429752066,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag10,0.027952903928551365,0.9173553719008265,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Change_pct_D_lag20,0.03750846830978016,0.8264462809917356,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag1,0.015242787089050224,0.9752066115702479,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag2,0.03529003192893106,0.8347107438016529,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag3,0.03796763623063941,0.8181818181818182,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag5,0.09493328101729617,0.5537190082644629,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag10,0.023809901833089953,0.9338842975206612,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volume_D_lag20,0.029546128064821174,0.9008264462809917,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_W_lag1,0.1671939956160088,0.34710743801652894,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_W_lag2,0.4150334651218145,0.10743801652892562,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_W_lag4,0.5816918804383022,0.049586776859504134,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_M_lag1,0.5993452252587304,0.04132231404958678,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_M_lag3,0.4448616828024569,0.09917355371900827,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_1D,0.06068645389653966,0.6776859504132231,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_3D,0.05360640182376279,0.71900826446281,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_5D,0.03883811137265507,0.8099173553719008,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_10D,0.09360774867223257,0.5619834710743802,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_20D,0.09810013046307517,0.5206611570247934,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Return_60D,0.21375961073857042,0.2727272727272727,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,SMA_5,0.45727385197096737,0.09090909090909091,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,SMA_10,0.5534525151389971,0.05785123966942149,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,SMA_20,0.629354782590417,0.03305785123966942,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,SMA_60,0.32501762229730957,0.18181818181818182,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_to_SMA_5,0.0324083350448376,0.8760330578512396,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_to_SMA_10,0.05283216199998364,0.7272727272727273,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_to_SMA_20,0.1253612700879941,0.4297520661157025,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Close_to_SMA_60,0.16724287872896185,0.33884297520661155,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volatility_5,0.1931112424503624,0.3140495867768595,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volatility_10,0.07326507434108862,0.628099173553719,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volatility_20,0.11805718794309997,0.4628099173553719,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Volatility_60,0.077442847300156,0.6115702479338843,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Momentum_5,0.12275290799437641,0.4380165289256198,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Momentum_10,0.025966377176423805,0.9256198347107438,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Momentum_20,0.20731904759994677,0.2975206611570248,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Momentum_60,0.15183920494532685,0.36363636363636365,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,ROC_5,0.0313710172112831,0.8925619834710744,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,ROC_10,0.021297997883536368,0.9421487603305785,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,ROC_20,0.09095321807127732,0.5785123966942148,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,ROC_60,0.04101292378526296,0.7768595041322314,244,128,1765247083,200,2.9948812000075122,none
lstm_attention,fold_1,global,Ratio_Close_D_to_W,0.01267979422364789,1.0,244,128,1765247083,200,2.9948812000075122,none
