model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_attention,fold_3,sideway,Open_D,0.7208308874606155,0.03305785123966942,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,High_D,0.6067461563122925,0.05785123966942149,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Low_D,0.43835990257619417,0.1487603305785124,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Close_D,11.186464334178458,0.0,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Volume_D,0.06947623103561654,0.7933884297520661,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Change_pct_D,0.14961692544988764,0.47107438016528924,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Open_W,0.09151575115171454,0.7024793388429752,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,High_W,0.6738635927192081,0.049586776859504134,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Low_W,0.34973487844974444,0.21487603305785125,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Close_W,0.5605141471138996,0.09090909090909091,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Volume_W,0.5407600693961353,0.10743801652892562,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Change_pct_W,0.33665095219611774,0.2396694214876033,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Open_M,0.13651738309660685,0.5289256198347108,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,High_M,0.2582441701355037,0.2975206611570248,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Low_M,0.5704167755594244,0.08264462809917356,80,80,680634517,200,1.6290958000026876,none
lstm_attention,fold_3,sideway,Close_M,0.14287130071650608,0.5206611570247934,80,80,680634517,200,1.6290958000026876,none
