model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_cnn,fold_1,bull,Open_D,0.15634603846249068,0.19834710743801653,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,High_D,0.0850557637879572,0.4132231404958678,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Low_D,0.26773657641735754,0.09917355371900827,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_D,10.478518139151856,0.0,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Volume_D,0.02055180745574749,0.8099173553719008,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Change_pct_D,0.03133148872356478,0.6942148760330579,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Open_W,0.31256357245988003,0.08264462809917356,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,High_W,0.043773666373676356,0.5371900826446281,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Low_W,0.22661688196078306,0.12396694214876033,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_W,0.18607677000367806,0.1652892561983471,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Volume_W,0.013977982972592902,0.8925619834710744,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Change_pct_W,0.015858766274329306,0.8677685950413223,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Open_M,0.19894660236207073,0.15702479338842976,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,High_M,0.11562756751075685,0.30578512396694213,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Low_M,0.21396841598503266,0.14049586776859505,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_M,0.5587548634114986,0.01652892561983471,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Volume_M,0.03704509930525496,0.6033057851239669,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Change_pct_M,0.08237515269568642,0.4214876033057851,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_D_lag1,0.251387380865506,0.10743801652892562,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_D_lag2,0.12700333478343157,0.24793388429752067,72,72,265471049,200,1.7141765999986092,none
lstm_cnn,fold_1,bull,Close_D_lag3,0.20345265880375032,0.1487603305785124,72,72,265471049,200,1.7141765999986092,none
