model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_cnn,fold_2,sideway,Open_D,0.11445990108135763,0.2644628099173554,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,High_D,0.02781230559672701,0.6694214876033058,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Low_D,0.14444038141923754,0.19834710743801653,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Close_D,5.216406623484648,0.0,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Volume_D,0.014050557341537886,0.8512396694214877,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Change_pct_D,0.03386228938570046,0.5785123966942148,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Open_W,0.27309293967786064,0.06611570247933884,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,High_W,0.048786066759040965,0.4793388429752066,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Low_W,0.08917902810296809,0.33884297520661155,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Close_W,0.22440959878427827,0.10743801652892562,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Volume_W,0.006330608357654787,0.9834710743801653,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Change_pct_W,0.007988364259413966,0.9504132231404959,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Open_M,0.2971771659049093,0.049586776859504134,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,High_M,0.14084246499938752,0.2066115702479339,92,92,1996972583,200,2.1325036000052933,none
lstm_cnn,fold_2,sideway,Low_M,0.06933710081907718,0.39669421487603307,92,92,1996972583,200,2.1325036000052933,none
