model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_cnn,fold_3,global,Open_D,0.16407379679744735,0.2809917355371901,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,High_D,0.10453066316372031,0.4462809917355372,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Low_D,0.22038991612162134,0.17355371900826447,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D,6.566044350117224,0.0,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D,0.020535079065459615,0.9173553719008265,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D,0.07290049594330625,0.6033057851239669,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Open_W,0.27188759175077165,0.09917355371900827,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,High_W,0.059620274470590574,0.6859504132231405,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Low_W,0.12711541891845285,0.38016528925619836,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_W,0.2605596560142658,0.11570247933884298,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_W,0.055704692355770004,0.7107438016528925,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_W,0.030428178459108148,0.8512396694214877,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Open_M,0.3193096414503088,0.049586776859504134,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,High_M,0.1651650291953258,0.2644628099173554,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Low_M,0.06140705557744184,0.6694214876033058,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_M,0.38041344537232363,0.03305785123966942,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_M,0.10647283588843255,0.4380165289256198,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_M,0.08589946325142321,0.5289256198347108,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag1,0.2575256184011323,0.12396694214876033,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag2,0.22386068364248785,0.1652892561983471,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag3,0.15838276749960442,0.30578512396694213,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag5,0.14679470055927482,0.34710743801652894,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag10,0.04499205429064155,0.7851239669421488,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag20,0.2647749925753942,0.10743801652892562,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_D_lag60,0.15687422982568577,0.32231404958677684,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag1,0.029058962637447415,0.8760330578512396,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag2,0.04118752460668702,0.8016528925619835,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag3,0.05503123583329006,0.71900826446281,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag5,0.039793402916913224,0.8264462809917356,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag10,0.09273558569449633,0.49586776859504134,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Change_pct_D_lag20,0.06823723744484766,0.6198347107438017,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag1,0.02423156627025431,0.9008264462809917,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag2,0.05056358760324688,0.7603305785123967,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag3,0.05344187483757672,0.743801652892562,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag5,0.05467565727929298,0.7355371900826446,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag10,0.07974558535719964,0.5702479338842975,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volume_D_lag20,0.015534602734802028,0.9338842975206612,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_W_lag1,0.16591217996231933,0.24793388429752067,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_W_lag2,0.23748626098304157,0.14049586776859505,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_W_lag4,0.055024294468691434,0.7272727272727273,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_M_lag1,0.3091451081087143,0.06611570247933884,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_M_lag3,0.11775221958648671,0.4049586776859504,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_1D,0.018461184543426424,0.9256198347107438,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_3D,0.08218745979944372,0.5619834710743802,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_5D,0.05045442137388858,0.768595041322314,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_10D,0.06814820577410359,0.628099173553719,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_20D,0.07712127731192879,0.5950413223140496,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Return_60D,0.1412959428605574,0.36363636363636365,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,SMA_5,0.2819358618743536,0.09090909090909091,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,SMA_10,0.04304522231788042,0.7933884297520661,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,SMA_20,0.10055788289767734,0.4628099173553719,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,SMA_60,0.3875953569809553,0.024793388429752067,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_to_SMA_5,0.05059043683903397,0.7520661157024794,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_to_SMA_10,0.03333071840985653,0.8347107438016529,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_to_SMA_20,0.07817427968710149,0.5867768595041323,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_to_SMA_60,0.1631542372456593,0.2892561983471074,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volatility_5,0.08950133262943324,0.5041322314049587,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volatility_10,0.04096234962229062,0.8099173553719008,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volatility_20,0.17668747601683635,0.2231404958677686,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Volatility_60,0.24018714583383768,0.1322314049586777,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Momentum_5,0.0654756564137692,0.6528925619834711,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Momentum_10,0.09551397505712131,0.48760330578512395,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Momentum_20,0.07963743664834536,0.5785123966942148,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Momentum_60,0.110856514841538,0.4214876033057851,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,ROC_5,0.08256229077770402,0.5537190082644629,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,ROC_10,0.0605124350122729,0.6776859504132231,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,ROC_20,0.18110880022632472,0.2066115702479339,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,ROC_60,0.19309305146585984,0.19008264462809918,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Ratio_Close_D_to_W,0.027541887107236818,0.8925619834710744,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Ratio_Close_D_to_M,0.17331355070417373,0.23140495867768596,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Ratio_Volume_D_to_W,0.0275883302451966,0.8842975206611571,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Spread_D,0.03285053689652724,0.8429752066115702,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Body_D,0.015424677960636336,0.9421487603305785,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Body_abs_D,0.11034923747653239,0.4297520661157025,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Upper_Shadow_D,0.015344757923329577,0.9504132231404959,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Lower_Shadow_D,0.008816226197166233,0.9917355371900827,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Body_to_Range_D,0.1284286285143544,0.371900826446281,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_Position_D,0.14583988258869168,0.35537190082644626,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Spread_W,0.029786042311509674,0.8677685950413223,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Body_W,0.06551149714662188,0.6446280991735537,242,128,1560351382,200,3.536953100003302,none
lstm_cnn,fold_3,global,Close_Position_W,0.04025468167093891,0.8181818181818182,242,128,1560351382,200,3.536953100003302,none
