model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_cnn_attention,fold_1,sideway,Open_D,0.0843126172061602,0.3140495867768595,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,High_D,0.21422560388430398,0.14049586776859505,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Low_D,0.25766767087637726,0.09917355371900827,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D,9.320745226201518,0.0,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D,0.020270101812927974,0.7603305785123967,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D,0.04276075563638202,0.4793388429752066,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Open_W,0.38761729939253703,0.06611570247933884,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,High_W,0.035074097507934374,0.5619834710743802,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Low_W,0.0835890511936939,0.32231404958677684,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_W,0.035547076413089636,0.5537190082644629,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_W,0.005033241626405436,1.0,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_W,0.02028448402987848,0.7520661157024794,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Open_M,0.08867976336230331,0.2975206611570248,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,High_M,0.029820052136965192,0.6363636363636364,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Low_M,0.13806828358359238,0.2066115702479339,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_M,0.5304675710694666,0.024793388429752067,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_M,0.02034214101834283,0.743801652892562,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_M,0.036302527234916136,0.5454545454545454,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag1,0.25566209639655424,0.10743801652892562,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag2,0.1569459508477829,0.17355371900826447,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag3,0.05308752517489242,0.4462809917355372,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag5,0.09069344955698985,0.2892561983471074,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag10,0.18379453238213753,0.15702479338842976,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag20,0.24835348224658718,0.11570247933884298,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_D_lag60,0.30127626091967574,0.0743801652892562,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag1,0.024576678059556142,0.6611570247933884,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag2,0.01981263765066985,0.768595041322314,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag3,0.012256054720745502,0.9256198347107438,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag5,0.03848560173094633,0.5289256198347108,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag10,0.05107690855436971,0.45454545454545453,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Change_pct_D_lag20,0.012334240247964047,0.9173553719008265,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag1,0.021078047667014713,0.71900826446281,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag2,0.022329554167379456,0.6942148760330579,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag3,0.0051005866710539145,0.9917355371900827,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag5,0.06107630451098517,0.39669421487603307,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag10,0.037380980477182725,0.5371900826446281,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_D_lag20,0.009116462374079882,0.9669421487603306,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_W_lag1,0.2641625916065173,0.09090909090909091,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_W_lag2,0.11331878779480789,0.2396694214876033,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_W_lag4,0.10700619604597637,0.24793388429752067,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_M_lag1,0.06791602965745272,0.3884297520661157,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_M_lag3,0.14465827220144306,0.19834710743801653,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_1D,0.02171290501193926,0.7107438016528925,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_3D,0.020754173499641097,0.7272727272727273,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_5D,0.031164565231326737,0.6115702479338843,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_10D,0.010074638876488538,0.9504132231404959,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_20D,0.03214385735194607,0.5950413223140496,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Return_60D,0.09695209264852718,0.2727272727272727,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,SMA_5,0.6059281873620769,0.008264462809917356,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,SMA_10,0.23858305885380027,0.1322314049586777,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,SMA_20,0.04163410487774157,0.5041322314049587,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,SMA_60,0.564264628701556,0.01652892561983471,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_to_SMA_5,0.020511089382357132,0.7355371900826446,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_to_SMA_10,0.015528879198502864,0.859504132231405,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_to_SMA_20,0.029990556213375784,0.628099173553719,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_to_SMA_60,0.04182672510800508,0.48760330578512395,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volatility_5,0.03217404919712595,0.5867768595041323,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volatility_10,0.04085354456786703,0.512396694214876,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volatility_20,0.02235517303208345,0.6859504132231405,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volatility_60,0.05356314181415563,0.4380165289256198,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Momentum_5,0.02443646213379539,0.6694214876033058,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Momentum_10,0.014222787031082753,0.8760330578512396,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Momentum_20,0.013906194564246339,0.8842975206611571,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Momentum_60,0.15747712690085597,0.1652892561983471,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,ROC_5,0.023025715839791645,0.6776859504132231,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,ROC_10,0.017977760877217582,0.8099173553719008,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,ROC_20,0.041662955352103626,0.49586776859504134,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,ROC_60,0.019545996314809116,0.7768595041322314,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Ratio_Close_D_to_W,0.010124744627339357,0.9421487603305785,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Ratio_Close_D_to_M,0.015979888271270892,0.8429752066115702,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Ratio_Volume_D_to_W,0.019186755005321365,0.7851239669421488,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Spread_D,0.022217782397446744,0.7024793388429752,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Body_D,0.013724896881078249,0.8925619834710744,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Body_abs_D,0.03278162940659968,0.5785123966942148,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Upper_Shadow_D,0.014299311030511954,0.8677685950413223,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Lower_Shadow_D,0.017754755543133383,0.8181818181818182,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Body_to_Range_D,0.017539689763396774,0.8347107438016529,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_Position_D,0.060437128212339895,0.4049586776859504,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Spread_W,0.03176706806292704,0.6033057851239669,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Body_W,0.012543539503427053,0.9090909090909091,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_Position_W,0.12725344722867954,0.21487603305785125,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Spread_M,0.013042526304174707,0.9008264462809917,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Body_M,0.09816054206546548,0.2644628099173554,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Close_Position_M,0.12273522860288838,0.23140495867768596,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_MA_5,0.011527249360971808,0.9338842975206612,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_MA_20,0.07374515071788142,0.36363636363636365,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_Ratio_5,0.009386937661785598,0.9586776859504132,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_Ratio_20,0.044160612204090635,0.47107438016528924,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_Change_1D,0.0853407525018214,0.30578512396694213,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_Change_5D,0.050986485637154244,0.4628099173553719,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Volume_Change_20D,0.017707494060984114,0.8264462809917356,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Direction_lag1,0.27366500516699815,0.08264462809917356,94,94,395240224,200,2.8897416000108933,none
lstm_cnn_attention,fold_1,sideway,Direction_lag2,0.09968955045345516,0.256198347107438,94,94,395240224,200,2.8897416000108933,none
