model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
lstm_cnn_attention,fold_3,bull,Open_D,0.2820889114660195,0.12396694214876033,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,High_D,0.3575227932255828,0.06611570247933884,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Low_D,0.4587026702137305,0.024793388429752067,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D,4.946571739824659,0.0,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D,0.06997495731862327,0.6942148760330579,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D,0.149066584905774,0.34710743801652894,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Open_W,0.1433741852843829,0.371900826446281,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,High_W,0.2075651879180049,0.2231404958677686,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Low_W,0.39494221092477505,0.049586776859504134,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_W,0.05009270599970721,0.8677685950413223,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_W,0.14298663398685363,0.38016528925619836,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_W,0.04694725717173704,0.8925619834710744,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Open_M,0.19386784417292802,0.256198347107438,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,High_M,0.2569793888171952,0.1652892561983471,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Low_M,0.1650857262417613,0.30578512396694213,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_M,0.34230982632835893,0.08264462809917356,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_M,0.06250484968462948,0.7520661157024794,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_M,0.15594401247395456,0.33884297520661155,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag1,0.20240384766943392,0.23140495867768596,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag2,0.20045790237231656,0.24793388429752067,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag3,0.08797262143025364,0.5702479338842975,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag5,0.17277300918790545,0.2809917355371901,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag10,0.0527384612775771,0.8181818181818182,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag20,0.18307089979744293,0.2644628099173554,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_D_lag60,0.2512160897908777,0.17355371900826447,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag1,0.09706119500066868,0.5206611570247934,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag2,0.08032098962323117,0.6033057851239669,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag3,0.043629849488350546,0.9173553719008265,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag5,0.1083607190514158,0.47107438016528924,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag10,0.1279536761354056,0.39669421487603307,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Change_pct_D_lag20,0.07946989080522238,0.6198347107438017,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag1,0.09477918701153189,0.5371900826446281,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag2,0.10664128295811678,0.4793388429752066,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag3,0.019975799354261685,1.0,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag5,0.10378602092865737,0.49586776859504134,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag10,0.02673705301196433,0.9834710743801653,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volume_D_lag20,0.035786666772139986,0.9504132231404959,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_W_lag1,0.2669094442936441,0.14049586776859505,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_W_lag2,0.07386989847051068,0.6694214876033058,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_W_lag4,0.25072341527042746,0.18181818181818182,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_M_lag1,0.14144198068985636,0.3884297520661157,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_M_lag3,0.15612907867622777,0.3305785123966942,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_1D,0.05748837701393207,0.7933884297520661,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_3D,0.07877788138350673,0.628099173553719,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_5D,0.14527347891186532,0.35537190082644626,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_10D,0.05143704433238907,0.8264462809917356,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_20D,0.05748731023446955,0.8016528925619835,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Return_60D,0.17398869746366472,0.2727272727272727,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,SMA_5,0.42772693263421013,0.03305785123966942,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,SMA_10,0.3824169943144029,0.05785123966942149,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,SMA_20,0.07702194557076933,0.6363636363636364,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,SMA_60,0.4589881182449533,0.01652892561983471,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_to_SMA_5,0.09943158231196678,0.5041322314049587,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_to_SMA_10,0.16892050105077427,0.2975206611570248,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_to_SMA_20,0.057897947722535856,0.7851239669421488,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Close_to_SMA_60,0.050460714498820315,0.8347107438016529,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volatility_5,0.0713635789739336,0.6859504132231405,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volatility_10,0.09816151868684175,0.512396694214876,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volatility_20,0.09071667541700756,0.5619834710743802,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Volatility_60,0.2570393546706194,0.15702479338842976,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Momentum_5,0.044060212986240174,0.9090909090909091,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Momentum_10,0.08055933058709375,0.5950413223140496,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Momentum_20,0.06337289843967873,0.71900826446281,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Momentum_60,0.169260560857838,0.2892561983471074,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,ROC_5,0.1235480879368189,0.4132231404958678,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,ROC_10,0.038347350839922,0.9421487603305785,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,ROC_20,0.0561553804949732,0.8099173553719008,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,ROC_60,0.325137748677135,0.09090909090909091,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Ratio_Close_D_to_W,0.11237028814236807,0.4628099173553719,58,58,1173277829,200,1.7810742000001483,none
lstm_cnn_attention,fold_3,bull,Ratio_Close_D_to_M,0.08321534770682398,0.5867768595041323,58,58,1173277829,200,1.7810742000001483,none
