regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
bear,Close_D,0.0,0.0,15,1
bear,WMA_60,0.08760330578512397,0.13055310380026017,15,2
bear,Close_D_lag1,0.09090909090909091,0.07727541049328723,15,3
bear,SMA_60,0.0953168044077135,0.12916556043717997,15,4
bear,WMA_5,0.1256198347107438,0.13537439470207246,15,5
bear,Low_D,0.14710743801652892,0.09209275567936304,15,6
bear,SMA_5,0.15702479338842976,0.1554635615983593,15,7
bear,VMD_Denoised_Close,0.15867768595041323,0.12861039779864877,15,8
bear,WMA_10,0.17245179063360883,0.1872867283672938,15,9
bear,Close_W_lag2,0.1933884297520661,0.18024975544562813,15,10
bear,Low_W,0.19614325068870522,0.10497897277344018,15,11
bear,WilliamsR_14,0.20606060606060606,0.1439761547126028,15,12
bear,StochK_14,0.2066115702479339,0.15618366653273852,15,13
bear,Direction_lag1,0.218732782369146,0.2155530761946298,15,14
bear,Close_W_lag1,0.21928374655647384,0.26065115223351887,15,15
bear,Open_W,0.2325068870523416,0.17774405756638567,15,16
bear,Close_D_lag5,0.23360881542699724,0.07241714133541535,15,17
bear,Close_D_lag60,0.2396694214876033,0.19444709671783478,15,18
bear,SMA_10,0.24242424242424246,0.2596346964477339,15,19
bear,Close_D_lag20,0.24517906336088155,0.17045260752836808,15,20
bear,Close_M,0.24573002754820938,0.26412069567900726,15,21
bear,Close_D_lag2,0.2462809917355372,0.14545052049813786,15,22
bear,Close_M_lag1,0.2484848484848485,0.20417612218488812,15,23
bear,Close_W_lag4,0.2484848484848485,0.19714973759381038,15,24
bear,High_M,0.2534435261707989,0.15118923122878505,15,25
bear,Direction_lag2,0.2539944903581267,0.15947466454822748,15,26
bear,Direction_lag5,0.25895316804407714,0.14529838492162184,15,27
bear,WMA_20,0.26005509641873276,0.16560968547290852,15,28
bear,High_D,0.2633608815426997,0.20238574968050674,15,29
bear,SMA_20,0.2705234159779614,0.22077690579150683,15,30
bear,Close_M_lag3,0.2738292011019284,0.1590887369074378,15,31
bear,Close_D_lag3,0.27878787878787875,0.18554900046466252,15,32
bear,High_W,0.2798898071625345,0.23613951169808384,15,33
bear,Low_M,0.287603305785124,0.18593598264877229,15,34
bear,StochD_3,0.30468319559228646,0.21668178375396505,15,35
bear,Close_W,0.30909090909090914,0.2381132559589285,15,36
bear,VMD_IMF_1,0.3278236914600551,0.1988547877739232,15,37
bear,PlusDI_14,0.34269972451790637,0.16525580141561133,15,38
