model,selection_fold,regime,available_sequences,explained_sequences,fallback
cnn,fold_1,bear,78,78,none
cnn,fold_1,bull,72,72,none
cnn,fold_1,global,244,128,none
cnn,fold_1,sideway,94,94,none
cnn,fold_2,bear,75,75,none
cnn,fold_2,bull,76,76,none
cnn,fold_2,global,243,128,none
cnn,fold_2,sideway,92,92,none
cnn,fold_3,bear,104,104,none
cnn,fold_3,bull,58,58,none
cnn,fold_3,global,242,128,none
cnn,fold_3,sideway,80,80,none
lstm,fold_1,bear,78,78,none
lstm,fold_1,bull,72,72,none
lstm,fold_1,global,244,128,none
lstm,fold_1,sideway,94,94,none
lstm,fold_2,bear,75,75,none
lstm,fold_2,bull,76,76,none
lstm,fold_2,global,243,128,none
lstm,fold_2,sideway,92,92,none
lstm,fold_3,bear,104,104,none
lstm,fold_3,bull,58,58,none
lstm,fold_3,global,242,128,none
lstm,fold_3,sideway,80,80,none
lstm_attention,fold_1,bear,78,78,none
lstm_attention,fold_1,bull,72,72,none
lstm_attention,fold_1,global,244,128,none
lstm_attention,fold_1,sideway,94,94,none
lstm_attention,fold_2,bear,75,75,none
lstm_attention,fold_2,bull,76,76,none
lstm_attention,fold_2,global,243,128,none
lstm_attention,fold_2,sideway,92,92,none
lstm_attention,fold_3,bear,104,104,none
lstm_attention,fold_3,bull,58,58,none
lstm_attention,fold_3,global,242,128,none
lstm_attention,fold_3,sideway,80,80,none
lstm_cnn,fold_1,bear,78,78,none
lstm_cnn,fold_1,bull,72,72,none
lstm_cnn,fold_1,global,244,128,none
lstm_cnn,fold_1,sideway,94,94,none
lstm_cnn,fold_2,bear,75,75,none
lstm_cnn,fold_2,bull,76,76,none
lstm_cnn,fold_2,global,243,128,none
lstm_cnn,fold_2,sideway,92,92,none
lstm_cnn,fold_3,bear,104,104,none
lstm_cnn,fold_3,bull,58,58,none
lstm_cnn,fold_3,global,242,128,none
lstm_cnn,fold_3,sideway,80,80,none
lstm_cnn_attention,fold_1,bear,78,78,none
lstm_cnn_attention,fold_1,bull,72,72,none
lstm_cnn_attention,fold_1,global,244,128,none
lstm_cnn_attention,fold_1,sideway,94,94,none
lstm_cnn_attention,fold_2,bear,75,75,none
lstm_cnn_attention,fold_2,bull,76,76,none
lstm_cnn_attention,fold_2,global,243,128,none
lstm_cnn_attention,fold_2,sideway,92,92,none
lstm_cnn_attention,fold_3,bear,104,104,none
lstm_cnn_attention,fold_3,bull,58,58,none
lstm_cnn_attention,fold_3,global,242,128,none
lstm_cnn_attention,fold_3,sideway,80,80,none
