regime,left_fold,right_fold,top_k,jaccard
bear,fold_1,fold_2,10,0.6666666666666666
bear,fold_1,fold_2,20,0.6
bear,fold_1,fold_2,30,0.7142857142857143
bear,fold_1,fold_2,40,0.8181818181818182
bear,fold_1,fold_2,60,0.7910447761194029
bear,fold_1,fold_2,80,0.7777777777777778
bear,fold_1,fold_2,100,0.8691588785046729
bear,fold_1,fold_2,122,1.0
bear,fold_1,fold_3,10,0.42857142857142855
bear,fold_1,fold_3,20,0.48148148148148145
bear,fold_1,fold_3,30,0.5789473684210527
bear,fold_1,fold_3,40,0.6326530612244898
bear,fold_1,fold_3,60,0.7910447761194029
bear,fold_1,fold_3,80,0.7582417582417582
bear,fold_1,fold_3,100,0.8348623853211009
bear,fold_1,fold_3,122,1.0
bear,fold_2,fold_3,10,0.42857142857142855
bear,fold_2,fold_3,20,0.48148148148148145
bear,fold_2,fold_3,30,0.7142857142857143
bear,fold_2,fold_3,40,0.6666666666666666
bear,fold_2,fold_3,60,0.7391304347826086
bear,fold_2,fold_3,80,0.8181818181818182
bear,fold_2,fold_3,100,0.8181818181818182
bear,fold_2,fold_3,122,1.0
bull,fold_1,fold_2,10,0.8181818181818182
bull,fold_1,fold_2,20,0.6
bull,fold_1,fold_2,30,0.6666666666666666
bull,fold_1,fold_2,40,0.7391304347826086
bull,fold_1,fold_2,60,0.7391304347826086
bull,fold_1,fold_2,80,0.8823529411764706
bull,fold_1,fold_2,100,0.8691588785046729
bull,fold_1,fold_2,122,1.0
bull,fold_1,fold_3,10,0.3333333333333333
bull,fold_1,fold_3,20,0.48148148148148145
bull,fold_1,fold_3,30,0.5384615384615384
bull,fold_1,fold_3,40,0.6326530612244898
bull,fold_1,fold_3,60,0.6
bull,fold_1,fold_3,80,0.6842105263157895
bull,fold_1,fold_3,100,0.8018018018018018
bull,fold_1,fold_3,122,1.0
bull,fold_2,fold_3,10,0.3333333333333333
bull,fold_2,fold_3,20,0.5384615384615384
bull,fold_2,fold_3,30,0.6216216216216216
bull,fold_2,fold_3,40,0.5384615384615384
bull,fold_2,fold_3,60,0.5789473684210527
bull,fold_2,fold_3,80,0.7021276595744681
bull,fold_2,fold_3,100,0.8181818181818182
bull,fold_2,fold_3,122,1.0
global,fold_1,fold_2,10,0.6666666666666666
global,fold_1,fold_2,20,0.48148148148148145
global,fold_1,fold_2,30,0.7142857142857143
global,fold_1,fold_2,40,0.7777777777777778
global,fold_1,fold_2,60,0.8181818181818182
global,fold_1,fold_2,80,0.8390804597701149
global,fold_1,fold_2,100,0.9230769230769231
global,fold_1,fold_2,122,1.0
global,fold_1,fold_3,10,0.42857142857142855
global,fold_1,fold_3,20,0.42857142857142855
global,fold_1,fold_3,30,0.5384615384615384
global,fold_1,fold_3,40,0.7021276595744681
global,fold_1,fold_3,60,0.6438356164383562
global,fold_1,fold_3,80,0.7391304347826086
global,fold_1,fold_3,100,0.8181818181818182
global,fold_1,fold_3,122,1.0
global,fold_2,fold_3,10,0.5384615384615384
global,fold_2,fold_3,20,0.42857142857142855
global,fold_2,fold_3,30,0.6216216216216216
global,fold_2,fold_3,40,0.6666666666666666
global,fold_2,fold_3,60,0.6438356164383562
global,fold_2,fold_3,80,0.797752808988764
global,fold_2,fold_3,100,0.8518518518518519
global,fold_2,fold_3,122,1.0
sideway,fold_1,fold_2,10,0.5384615384615384
sideway,fold_1,fold_2,20,0.5384615384615384
sideway,fold_1,fold_2,30,0.6666666666666666
sideway,fold_1,fold_2,40,0.8181818181818182
sideway,fold_1,fold_2,60,0.875
sideway,fold_1,fold_2,80,0.797752808988764
sideway,fold_1,fold_2,100,0.8518518518518519
sideway,fold_1,fold_2,122,1.0
sideway,fold_1,fold_3,10,0.25
sideway,fold_1,fold_3,20,0.3793103448275862
sideway,fold_1,fold_3,30,0.3953488372093023
sideway,fold_1,fold_3,40,0.6
sideway,fold_1,fold_3,60,0.6216216216216216
sideway,fold_1,fold_3,80,0.7021276595744681
sideway,fold_1,fold_3,100,0.8018018018018018
sideway,fold_1,fold_3,122,1.0
sideway,fold_2,fold_3,10,0.42857142857142855
sideway,fold_2,fold_3,20,0.42857142857142855
sideway,fold_2,fold_3,30,0.5
sideway,fold_2,fold_3,40,0.6326530612244898
sideway,fold_2,fold_3,60,0.6438356164383562
sideway,fold_2,fold_3,80,0.7204301075268817
sideway,fold_2,fold_3,100,0.8691588785046729
sideway,fold_2,fold_3,122,1.0
