model,selection_fold,regime,runtime_seconds
cnn,fold_1,bear,1.0483956999960355
cnn,fold_1,bull,0.9788316000049236
cnn,fold_1,global,1.8952656999899773
cnn,fold_1,sideway,1.2882865999999922
cnn,fold_2,bear,1.05377139999473
cnn,fold_2,bull,1.0706491000019014
cnn,fold_2,global,1.9139224000100512
cnn,fold_2,sideway,1.3143185999942943
cnn,fold_3,bear,1.51567989999603
cnn,fold_3,bull,0.8407402000011643
cnn,fold_3,global,1.8631801000010453
cnn,fold_3,sideway,1.1495234000030905
lstm,fold_1,bear,0.8771731000015279
lstm,fold_1,bull,0.8045109999948181
lstm,fold_1,global,2.0058411000063643
lstm,fold_1,sideway,1.0565930000011576
lstm,fold_2,bear,0.8776112999912584
lstm,fold_2,bull,0.9342023999925004
lstm,fold_2,global,1.808800800004974
lstm,fold_2,sideway,1.0506848000077298
lstm,fold_3,bear,1.2146264000039082
lstm,fold_3,bull,0.6770760000072187
lstm,fold_3,global,1.8218521000089825
lstm,fold_3,sideway,0.9845009999989998
lstm_attention,fold_1,bear,1.5589755999972112
lstm_attention,fold_1,bull,1.4294836000044595
lstm_attention,fold_1,global,2.994881200007512
lstm_attention,fold_1,sideway,1.8956125999975484
lstm_attention,fold_2,bear,1.4979688999883365
lstm_attention,fold_2,bull,1.5386995000008028
lstm_attention,fold_2,global,3.022761800006265
lstm_attention,fold_2,sideway,1.9510693999909563
lstm_attention,fold_3,bear,2.118213900001137
lstm_attention,fold_3,bull,1.1719037000002572
lstm_attention,fold_3,global,3.0573166999965906
lstm_attention,fold_3,sideway,1.6290958000026876
lstm_cnn,fold_1,bear,1.9191190999990797
lstm_cnn,fold_1,bull,1.7141765999986092
lstm_cnn,fold_1,global,3.509911300003296
lstm_cnn,fold_1,sideway,2.2327077999943867
lstm_cnn,fold_2,bear,1.818037999997614
lstm_cnn,fold_2,bull,1.8751755999983288
lstm_cnn,fold_2,global,3.4901238000020385
lstm_cnn,fold_2,sideway,2.1325036000052933
lstm_cnn,fold_3,bear,2.4302079000044614
lstm_cnn,fold_3,bull,1.5121418999915477
lstm_cnn,fold_3,global,3.536953100003302
lstm_cnn,fold_3,sideway,1.861798199999612
lstm_cnn_attention,fold_1,bear,2.3950037000031443
lstm_cnn_attention,fold_1,bull,2.1238255000062054
lstm_cnn_attention,fold_1,global,4.314636099996278
lstm_cnn_attention,fold_1,sideway,2.8897416000108933
lstm_cnn_attention,fold_2,bear,2.3043256999953883
lstm_cnn_attention,fold_2,bull,2.3606506000069203
lstm_cnn_attention,fold_2,global,4.392716899994412
lstm_cnn_attention,fold_2,sideway,2.7240319999982603
lstm_cnn_attention,fold_3,bear,3.191575400007423
lstm_cnn_attention,fold_3,bull,1.7810742000001485
lstm_cnn_attention,fold_3,global,4.403955200003111
lstm_cnn_attention,fold_3,sideway,2.404990100010764
