model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,fallback
spearman_filter,fold_1,global,Open_D,0.08882612559345889,0.18181818181818182,244,none
spearman_filter,fold_1,global,High_D,0.08714589031095483,0.19008264462809918,244,none
spearman_filter,fold_1,global,Low_D,0.10379787616321574,0.049586776859504134,244,none
spearman_filter,fold_1,global,Close_D,0.09674119719293407,0.12396694214876033,244,none
spearman_filter,fold_1,global,Volume_D,0.08182701214930622,0.21487603305785125,244,none
spearman_filter,fold_1,global,Change_pct_D,0.03620207422159701,0.6446280991735537,244,none
spearman_filter,fold_1,global,Open_W,0.07357864628362633,0.2975206611570248,244,none
spearman_filter,fold_1,global,High_W,0.06423321465658995,0.3884297520661157,244,none
spearman_filter,fold_1,global,Low_W,0.08539944818337077,0.19834710743801653,244,none
spearman_filter,fold_1,global,Close_W,0.052629709947006456,0.47107438016528924,244,none
spearman_filter,fold_1,global,Volume_W,0.014366232917538673,0.8429752066115702,244,none
spearman_filter,fold_1,global,Change_pct_W,0.030733664919704543,0.7107438016528925,244,none
spearman_filter,fold_1,global,Open_M,0.06220471030485665,0.4049586776859504,244,none
spearman_filter,fold_1,global,High_M,0.0492657923324272,0.512396694214876,244,none
spearman_filter,fold_1,global,Low_M,0.09636667024372424,0.14049586776859505,244,none
spearman_filter,fold_1,global,Close_M,0.08401633708423847,0.2066115702479339,244,none
spearman_filter,fold_1,global,Volume_M,0.0027336034094109507,0.9752066115702479,244,none
spearman_filter,fold_1,global,Change_pct_M,0.03669080215278968,0.6363636363636364,244,none
spearman_filter,fold_1,global,Close_D_lag1,0.1005890532295894,0.0743801652892562,244,none
spearman_filter,fold_1,global,Close_D_lag2,0.09663959000261449,0.1322314049586777,244,none
spearman_filter,fold_1,global,Close_D_lag3,0.06414676704301797,0.39669421487603307,244,none
spearman_filter,fold_1,global,Close_D_lag5,0.07618432783437507,0.2809917355371901,244,none
spearman_filter,fold_1,global,Close_D_lag10,0.05525902915156786,0.4380165289256198,244,none
spearman_filter,fold_1,global,Close_D_lag20,0.09175044783567185,0.17355371900826447,244,none
spearman_filter,fold_1,global,Close_D_lag60,0.005323223284393358,0.9338842975206612,244,none
spearman_filter,fold_1,global,Change_pct_D_lag1,0.03824005694995152,0.628099173553719,244,none
spearman_filter,fold_1,global,Change_pct_D_lag2,0.1292103354411405,0.024793388429752067,244,none
spearman_filter,fold_1,global,Change_pct_D_lag3,0.055216786659137866,0.4462809917355372,244,none
spearman_filter,fold_1,global,Change_pct_D_lag5,0.006828101081195159,0.9090909090909091,244,none
spearman_filter,fold_1,global,Change_pct_D_lag10,0.024521890675631278,0.7355371900826446,244,none
spearman_filter,fold_1,global,Change_pct_D_lag20,0.003395277179560493,0.9669421487603306,244,none
spearman_filter,fold_1,global,Volume_D_lag1,0.034587811947304495,0.6859504132231405,244,none
spearman_filter,fold_1,global,Volume_D_lag2,0.07172265788426403,0.3140495867768595,244,none
spearman_filter,fold_1,global,Volume_D_lag3,0.01131586890241317,0.859504132231405,244,none
spearman_filter,fold_1,global,Volume_D_lag5,0.021428893070576487,0.7768595041322314,244,none
spearman_filter,fold_1,global,Volume_D_lag10,0.026214964406695584,0.7272727272727273,244,none
spearman_filter,fold_1,global,Volume_D_lag20,0.018819109195823025,0.8016528925619835,244,none
spearman_filter,fold_1,global,Close_W_lag1,0.06985476335942524,0.34710743801652894,244,none
spearman_filter,fold_1,global,Close_W_lag2,0.06776686722641864,0.36363636363636365,244,none
spearman_filter,fold_1,global,Close_W_lag4,0.06962350693267388,0.35537190082644626,244,none
spearman_filter,fold_1,global,Close_M_lag1,0.06430521690896093,0.38016528925619836,244,none
spearman_filter,fold_1,global,Close_M_lag3,0.03470941954773639,0.6694214876033058,244,none
spearman_filter,fold_1,global,Return_1D,0.03614735511691015,0.6528925619834711,244,none
spearman_filter,fold_1,global,Return_3D,0.03466950836193615,0.6776859504132231,244,none
spearman_filter,fold_1,global,Return_5D,0.008964557286181018,0.8801652892561983,244,none
spearman_filter,fold_1,global,Return_10D,0.042669210975221895,0.5991735537190083,244,none
spearman_filter,fold_1,global,Return_20D,0.0009152902205205093,0.9958677685950413,244,none
spearman_filter,fold_1,global,Return_60D,0.07868935066437018,0.24380165289256198,244,none
spearman_filter,fold_1,global,SMA_5,0.0927995241812572,0.1652892561983471,244,none
spearman_filter,fold_1,global,SMA_10,0.09556026417853115,0.15702479338842976,244,none
spearman_filter,fold_1,global,SMA_20,0.07778149511170587,0.2727272727272727,244,none
spearman_filter,fold_1,global,SMA_60,0.0698908342936446,0.33884297520661155,244,none
spearman_filter,fold_1,global,Close_to_SMA_5,0.007754358574030705,0.8925619834710744,244,none
spearman_filter,fold_1,global,Close_to_SMA_10,0.003564510199951261,0.9586776859504132,244,none
spearman_filter,fold_1,global,Close_to_SMA_20,0.05440607329756433,0.45454545454545453,244,none
spearman_filter,fold_1,global,Close_to_SMA_60,0.0493951071624764,0.5041322314049587,244,none
spearman_filter,fold_1,global,Volatility_5,0.03430686178539418,0.7024793388429752,244,none
spearman_filter,fold_1,global,Volatility_10,0.11818726276181389,0.03305785123966942,244,none
spearman_filter,fold_1,global,Volatility_20,0.012696760550000205,0.8512396694214877,244,none
spearman_filter,fold_1,global,Volatility_60,0.004124588511786013,0.9421487603305785,244,none
spearman_filter,fold_1,global,Momentum_5,0.01123543991980564,0.8677685950413223,244,none
spearman_filter,fold_1,global,Momentum_10,0.04366961389475035,0.5785123966942148,244,none
spearman_filter,fold_1,global,Momentum_20,0.0013498052530058772,0.9834710743801653,244,none
spearman_filter,fold_1,global,Momentum_60,0.07870137750025931,0.23140495867768596,244,none
spearman_filter,fold_1,global,ROC_5,0.008964557286181018,0.8801652892561983,244,none
spearman_filter,fold_1,global,ROC_10,0.042669210975221895,0.5991735537190083,244,none
spearman_filter,fold_1,global,ROC_20,0.0009152902205205093,0.9958677685950413,244,none
spearman_filter,fold_1,global,ROC_60,0.07868935066437018,0.24380165289256198,244,none
spearman_filter,fold_1,global,Ratio_Close_D_to_W,0.07809622938428559,0.256198347107438,244,none
spearman_filter,fold_1,global,Ratio_Close_D_to_M,0.019449917186060824,0.7933884297520661,244,none
spearman_filter,fold_1,global,Ratio_Volume_D_to_W,0.11257592667107735,0.04132231404958678,244,none
spearman_filter,fold_1,global,Spread_D,0.21042823002392372,0.0,244,none
spearman_filter,fold_1,global,Body_D,0.014917691861325407,0.8181818181818182,244,none
spearman_filter,fold_1,global,Body_abs_D,0.1384023118626015,0.008264462809917356,244,none
spearman_filter,fold_1,global,Upper_Shadow_D,0.04273089107104439,0.5867768595041323,244,none
spearman_filter,fold_1,global,Lower_Shadow_D,0.015010007017444617,0.8099173553719008,244,none
spearman_filter,fold_1,global,Body_to_Range_D,0.0992272075800569,0.09917355371900827,244,none
spearman_filter,fold_1,global,Close_Position_D,0.007545636068069345,0.9008264462809917,244,none
spearman_filter,fold_1,global,Spread_W,0.10024092889386979,0.08264462809917356,244,none
spearman_filter,fold_1,global,Body_W,0.03601845516302924,0.6611570247933884,244,none
spearman_filter,fold_1,global,Close_Position_W,0.06634504590393368,0.371900826446281,244,none
spearman_filter,fold_1,global,Spread_M,0.07011578758643623,0.3305785123966942,244,none
spearman_filter,fold_1,global,Body_M,0.04427359832743167,0.5619834710743802,244,none
spearman_filter,fold_1,global,Close_Position_M,0.043674236609462264,0.5702479338842975,244,none
spearman_filter,fold_1,global,Volume_MA_5,0.09594897480714507,0.1487603305785124,244,none
spearman_filter,fold_1,global,Volume_MA_20,0.051513670211240134,0.49586776859504134,244,none
spearman_filter,fold_1,global,Volume_Ratio_5,0.022893820551900177,0.7520661157024794,244,none
spearman_filter,fold_1,global,Volume_Ratio_20,0.07170076287952946,0.32231404958677684,244,none
spearman_filter,fold_1,global,Volume_Change_1D,0.03922784254098284,0.6198347107438017,244,none
spearman_filter,fold_1,global,Volume_Change_5D,0.05167341982330273,0.4793388429752066,244,none
spearman_filter,fold_1,global,Volume_Change_20D,0.053187255727051845,0.4628099173553719,244,none
spearman_filter,fold_1,global,Direction_lag1,0.0345621748278656,0.6942148760330579,244,none
spearman_filter,fold_1,global,Direction_lag2,0.0757018519442793,0.2892561983471074,244,none
spearman_filter,fold_1,global,Direction_lag3,0.07796854254097628,0.2644628099173554,244,none
spearman_filter,fold_1,global,Direction_lag5,0.003898558093979025,0.9504132231404959,244,none
spearman_filter,fold_1,global,Up_Ratio_5,0.04883366976960624,0.5247933884297521,244,none
spearman_filter,fold_1,global,Up_Ratio_10,0.005781136772172453,0.9214876033057852,244,none
