model,objective,threshold,threshold_role,strategy,cost_bps,rows,coverage,round_trip_units,position_change_units,gross_cumulative_return,net_cumulative_return,net_mean_daily_return,net_annualized_sharpe,maximum_drawdown,active_win_rate,trade_entries,break_even_cost_bps,deflated_sharpe_probability
lstm,direct,0.5,validation_selected_primary,long_flat,5.0,137,0.4233576642335766,58.0,14.0,0.14416652383547923,0.11152767039894518,0.0007892559436018322,2.1221072180198557,-0.03227366438151558,0.5172413793103449,58,23.642769702319143,0.5616507017895871
lstm,direct,0.5,validation_selected_primary,long_flat,10.0,137,0.4233576642335766,58.0,14.0,0.14416652383547923,0.07980428039987086,0.0005775771114850438,1.5618763133507965,-0.03518916807954631,0.46551724137931033,58,23.642769702319143,0.3834263548994742
lstm,direct,0.5,validation_selected_primary,long_flat,20.0,137,0.4233576642335766,58.0,14.0,0.14416652383547923,0.019003618034187264,0.00015421944725146723,0.41963436884319,-0.044221346714454324,0.39655172413793105,58,23.642769702319143,0.1284291454481275
lstm,direct,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,27.0,0.14055722511135849,0.06509452321918174,0.0004900030184986706,1.00567735123976,-0.07436491949661861,0.5255474452554745,137,9.90003018498671,0.2431442393213345
lstm,direct,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,27.0,0.14055722511135849,-0.005409376961550971,-9.996981501329473e-06,-0.0205177060081257,-0.10379980128011101,0.4744525547445255,137,9.90003018498671,0.07560078886314031
lstm,direct,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,27.0,0.14055722511135849,-0.13281425399624736,-0.0010099969815013294,-2.072907820503897,-0.19019357697449057,0.36496350364963503,137,9.90003018498671,0.002534984711539525
lstm,direct,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,direct,0.65,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.5,validation_selected_primary,long_flat,5.0,137,0.9708029197080292,133.0,5.0,0.12284927922713162,0.050649947884201074,0.0003869615728804551,0.843563563822915,-0.0838518227666174,0.45864661654135336,133,8.985995149219729,0.20849761947105233
lstm,multitask,0.5,validation_selected_primary,long_flat,10.0,137,0.9708029197080292,133.0,5.0,0.12284927922713162,-0.01693962511037206,-9.843988697355958e-05,-0.2146043176201197,-0.11792246185103228,0.42105263157894735,133,8.985995149219729,0.05785665599675256
lstm,multitask,0.5,validation_selected_primary,long_flat,20.0,137,0.9708029197080292,133.0,5.0,0.12284927922713162,-0.13944004068067062,-0.0010692428066815885,-2.330253040877758,-0.1863016838512619,0.38345864661654133,133,8.985995149219729,0.0013228600007735088
lstm,multitask,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,9.0,0.10105916800580883,0.028191632211167494,0.00023285953253036947,0.4761459260767994,-0.10343507693135201,0.45985401459854014,137,7.3285953253036995,0.14206255519654876
lstm,multitask,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,9.0,0.10105916800580883,-0.039886442166254366,-0.0002671404674696307,-0.5462428095329415,-0.13851211474928915,0.4233576642335766,137,7.3285953253036995,0.034354853836110096
lstm,multitask,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,9.0,0.10105916800580883,-0.162904501366418,-0.0012671404674696302,-2.5910202807524216,-0.2084883914043678,0.38686131386861317,137,7.3285953253036995,0.0005215999806046102
lstm,multitask,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm,multitask,0.65,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,direct,0.5,validation_selected_primary,long_flat,5.0,137,1.0,137.0,1.0,0.1439806594586832,0.06829305637074734,0.0005118665329385699,1.050937144234305,-0.07882235450644781,0.45255474452554745,137,10.118665329385705,0.2531384338990459
cnn,direct,0.5,validation_selected_primary,long_flat,10.0,137,1.0,137.0,1.0,0.1439806594586832,-0.002421071725000168,1.1866532938569772e-05,0.024363734364167732,-0.10929484716472881,0.41605839416058393,137,10.118665329385705,0.0801910862485628
cnn,direct,0.5,validation_selected_primary,long_flat,20.0,137,1.0,137.0,1.0,0.1439806594586832,-0.13020612639032392,-0.0009881334670614299,-2.0287830853761055,-0.1775706007603638,0.3795620437956204,137,10.118665329385705,0.0028659005734180194
cnn,direct,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,1.0,0.1439806594586832,0.06829305637074734,0.0005118665329385699,1.050937144234305,-0.07882235450644781,0.45255474452554745,137,10.118665329385705,0.2531384338990459
cnn,direct,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,1.0,0.1439806594586832,-0.002421071725000168,1.1866532938569772e-05,0.024363734364167732,-0.10929484716472881,0.41605839416058393,137,10.118665329385705,0.0801910862485628
cnn,direct,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,1.0,0.1439806594586832,-0.13020612639032392,-0.0009881334670614299,-2.0287830853761055,-0.1775706007603638,0.3795620437956204,137,10.118665329385705,0.0028659005734180194
cnn,direct,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,direct,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,direct,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
cnn,direct,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
