model,objective,seeds,rows,positive_share,direction_accuracy,balanced_accuracy,mcc,auc,brier,log_loss,ece_10
lstm,direct,5,138,0.5869565217391305,0.5289855072463768,0.5441845354126056,0.0881497805666071,0.533246696989387,0.2496998417130109,0.6925467002135596,0.08721597773441372
lstm,multitask,5,138,0.5869565217391305,0.5942028985507246,0.5139701104613386,0.07362053181892443,0.5018410223088585,0.24924866158083947,0.6916444563117807,0.08960488309030949
cnn,direct,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4959930690924843,0.249215700403088,0.6915785332630666,0.08240460187628651
cnn,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.49447693307342433,0.2490069887686765,0.6911610475415723,0.08108536337596783
lstm_cnn,direct,5,138,0.5869565217391305,0.4927536231884058,0.521117608836907,0.043881862165063075,0.48538011695906436,0.2500358413093784,0.6932188452509519,0.08761684510155002
lstm_cnn,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5167857916395928,0.24878220515347751,0.6907114200093392,0.0796484829722971
lstm_attention,direct,5,138,0.5869565217391305,0.5579710144927537,0.49610136452241715,-0.010906026836111542,0.50682261208577,0.24912665678470358,0.6914001621777032,0.08253899493079264
lstm_attention,multitask,5,138,0.5869565217391305,0.5797101449275363,0.5120207927225471,0.038031622731498516,0.5115876110028157,0.24929327601574952,0.6917336182490226,0.08303489542525753
lstm_cnn_attention,direct,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4842971626597357,0.24890060252816898,0.690948260578899,0.08043646976567709
lstm_cnn_attention,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5150530647606671,0.24881541825411718,0.6907778605716655,0.07988124092419946
