model,objective,seeds,rows,positive_share,direction_accuracy,balanced_accuracy,mcc,auc,brier,log_loss,ece_10,probability_mean,probability_std,probability_min,probability_max,seed_da_mean,seed_da_sd,seed_bacc_mean,seed_bacc_sd,seed_mcc_mean,seed_mcc_sd,seed_auc_mean,seed_auc_sd
lstm,direct,5,138,0.5869565217391305,0.5289855072463768,0.5441845354126056,0.0881497805666071,0.533246696989387,0.2496998417130109,0.6925467002135596,0.0872159777344137,0.49974054400471674,0.004824211287057715,0.4921589493751526,0.5147297382354736,0.5463768115942029,0.05650315562208102,0.5127355425601039,0.017589524954582082,0.029874581629853635,0.04090847031383748,0.5183885640025991,0.018848601027729305
lstm,multitask,5,138,0.5869565217391305,0.5942028985507246,0.5139701104613386,0.0736205318189244,0.5018410223088585,0.2492486615808394,0.6916444563117807,0.0896048830903094,0.5044541190499845,0.0018794039846702598,0.494749104976654,0.5077784776687622,0.5753623188405796,0.018896238855659848,0.4984405458089668,0.00898708532918521,-0.0037998939269028005,0.02473593734001042,0.5001732726878926,0.003540449078051103
cnn,direct,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4959930690924843,0.249215700403088,0.6915785332630666,0.0824046018762865,0.504551919862844,0.0006915607747055529,0.5036027491092682,0.5057661414146424,0.5521739130434783,0.07777627747825361,0.5,0.0,0.0,0.0,0.49919861381849684,0.0017919539780700002
cnn,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4944769330734243,0.2490069887686765,0.6911610475415723,0.0810853633759678,0.5058711583631627,0.001422020795377794,0.5040938198566437,0.508226215839386,0.5710144927536233,0.03564746051086621,0.5035737491877843,0.007991146118420304,0.00708636833799888,0.015845601317367702,0.4999350227420402,0.003316387304788792
lstm_cnn,direct,5,138,0.5869565217391305,0.4927536231884058,0.521117608836907,0.043881862165063,0.4853801169590643,0.2500358413093784,0.6932188452509519,0.08761684510155,0.49933967663758044,0.0037050418450981205,0.4957619786262512,0.5074913740158081,0.5217391304347826,0.06019292654288467,0.5037037037037038,0.02095906900094841,0.01192673515875282,0.049196090824428336,0.4917478882391163,0.01791076766161135
lstm_cnn,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5167857916395928,0.2487822051534775,0.6907114200093392,0.0796484829722971,0.5073080387668334,0.00034092045295379994,0.5066599726676941,0.5076763749122619,0.5869565217391305,0.0,0.5,0.0,0.0,0.0,0.4989603638726446,0.015346383325349976
lstm_attention,direct,5,138,0.5869565217391305,0.5579710144927537,0.4961013645224171,-0.0109060268361115,0.50682261208577,0.2491266567847035,0.6914001621777032,0.0825389949307926,0.5044175268083378,0.0049289230971977455,0.4973244667053222,0.5167408347129822,0.5420289855072464,0.06509650632311799,0.4996751137102014,0.015408997448642901,0.0064640444780450805,0.044612061712888125,0.5053497942386832,0.00810575196873482
lstm_attention,multitask,5,138,0.5869565217391305,0.5797101449275363,0.5120207927225471,0.0380316227314985,0.5115876110028157,0.2492932760157495,0.6917336182490226,0.0830348954252575,0.5039216263138729,0.0032634218176662345,0.4988343119621277,0.5100600838661193,0.5449275362318841,0.05760755627348346,0.49434697855750487,0.010440937573881481,-0.01121820219808368,0.0206658148546528,0.5045917262291532,0.010560498134207324
lstm_cnn_attention,direct,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4842971626597357,0.2489006025281689,0.690948260578899,0.080436469765677,0.5065200519734535,0.00031646881951360637,0.5062557339668274,0.5072046995162964,0.5869565217391305,0.0,0.5,0.0,0.0,0.0,0.49796404591726234,0.008437805603725392
lstm_cnn_attention,multitask,5,138,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5150530647606671,0.2488154182541171,0.6907778605716655,0.0798812409241994,0.507075280814931,0.000270721957719478,0.506883180141449,0.507683002948761,0.5869565217391305,0.0,0.5,0.0,0.0,0.0,0.5030106129521335,0.006731935214911676
