model,objective,seeds,trainable_parameters,fit_seconds_mean,fit_seconds_sd,fit_seconds_total,inference_seconds_mean,inference_seconds_sd,inference_seconds_total
cnn,direct,5,12017.0,8.600048399996012,0.17123407841785895,43.00024199998006,0.22790912000054958,0.03441170791117538,1.139545600002748
cnn,multitask,5,12026.0,9.95792660000152,0.3362313394942491,49.7896330000076,0.21187037999916353,0.015749126587386333,1.0593518999958176
lstm,direct,5,9041.0,8.23292616000399,0.1740180897771782,41.16463080001995,0.38359460000065154,0.02616139456762225,1.9179730000032578
lstm,multitask,5,9050.0,9.143679399997927,0.2577056695226224,45.718396999989636,0.42794141999911517,0.058116821177717215,2.139707099995576
lstm_attention,direct,5,10129.0,13.992942660002154,0.2424671686689227,69.96471330001077,0.5599691999988863,0.05751536542455354,2.7998459999944316
lstm_attention,multitask,5,10138.0,15.07898805999721,0.06829004622077865,75.39494029998605,0.5531509200052824,0.09729074385831356,2.765754600026412
lstm_cnn,direct,5,10737.0,16.478090760001216,0.49629579107070904,82.39045380000607,0.41311173999856693,0.008741542051637895,2.0655586999928346
lstm_cnn,multitask,5,10746.0,17.725691720005123,0.3081882887126862,88.62845860002562,0.4452125400013756,0.029874619485275658,2.226062700006878
lstm_cnn_attention,direct,5,12865.0,22.132083499996224,0.39505568526577445,110.66041749998112,0.5642189800011692,0.06014502422269639,2.8210949000058463
lstm_cnn_attention,multitask,5,12874.0,23.356853360004607,0.17277723746431076,116.78426680002303,0.570794239998213,0.009718656292540245,2.853971199991065
