model,rank,feature,absolute_attribution
cnn,1,Direction_lag3,1.2686679352539679e-06
cnn,2,Close_D_lag10,1.2233211500391658e-06
cnn,3,Volume_MA_20,1.1265361424724525e-06
cnn,4,Close_D_lag5,1.1110724278617924e-06
cnn,5,Close_W,1.062775861495474e-06
cnn,6,WMA_60,1.0301610106215146e-06
cnn,7,Volatility_60,9.19705077192153e-07
cnn,8,Up_Ratio_20,8.891521550018487e-07
cnn,9,Direction_lag2,8.660560978590581e-07
cnn,10,VMD_Denoised_Close,7.949132367966276e-07
lstm,1,Close_Position_D,0.002180004084163956
lstm,2,Close_Position_W,0.002026586712501387
lstm,3,Direction_lag1,0.00200582582244044
lstm,4,Close_Position_M,0.0019333555562979722
lstm,5,Direction_lag5,0.0011042204105857366
lstm,6,PlusDI_14,0.0009873042012031482
lstm,7,Body_M,0.0009369828104895221
lstm,8,Up_Ratio_20,0.0008976109882676151
lstm,9,Change_pct_M,0.0008771875358949996
lstm,10,Upper_Shadow_D,0.00085829174750051
lstm_attention,1,ADX_14,0.0
lstm_attention,2,Body_D,0.0
lstm_attention,3,Body_M,0.0
lstm_attention,4,Body_W,0.0
lstm_attention,5,Body_abs_D,0.0
lstm_attention,6,Body_to_Range_D,0.0
lstm_attention,7,CCI_20,0.0
lstm_attention,8,Change_pct_D,0.0
lstm_attention,9,Change_pct_D_lag1,0.0
lstm_attention,10,Change_pct_D_lag10,0.0
lstm_cnn,1,Close_Position_M,0.00037843420263934056
lstm_cnn,2,Open_W,0.00031825135920389886
lstm_cnn,3,VMD_Denoised_Close,0.00031752222316405667
lstm_cnn,4,WMA_60,0.0003172542632945328
lstm_cnn,5,Close_W_lag2,0.00030752309614730835
lstm_cnn,6,Close_D_lag20,0.00030513830492603645
lstm_cnn,7,Close_D_lag3,0.0002931845694892902
lstm_cnn,8,WilliamsR_14,0.0002813552858239736
lstm_cnn,9,Close_M,0.0002661585878096279
lstm_cnn,10,Close_D_lag10,0.0002634594850087461
lstm_cnn_attention,1,WMA_10,0.0002957074467184225
lstm_cnn_attention,2,Close_M_lag1,0.00027882165839770783
lstm_cnn_attention,3,SMA_20,0.00024137715695372145
lstm_cnn_attention,4,Close_M,0.00023285880192698585
lstm_cnn_attention,5,Close_W,0.00022597520544361113
lstm_cnn_attention,6,Open_W,0.00020730573638101107
lstm_cnn_attention,7,Volatility_20,0.00020419280071925738
lstm_cnn_attention,8,Close_D_lag3,0.00020285137679111343
lstm_cnn_attention,9,Close_D_lag1,0.00018270484697475146
lstm_cnn_attention,10,Volatility_60,0.00018183132225113634
