model,objective,seed,window,features,training_sequences,trainable_parameters,fit_seconds,inference_seconds,return_target_mean,return_target_std,rows,positive_share,direction_accuracy,balanced_accuracy,mcc,auc,brier,log_loss,ece_10,stage,instances,trained_shap_seconds,random_initialization_shap_seconds,permuted_label_fit_seconds,permuted_label_shap_seconds,deletion_seconds,weight_reproduction_max_abs_error
lstm,direct,42.0,5.0,122,3299.0,9041.0,8.454433100007009,0.3849239000119269,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5,0.5350877192982456,0.0750939261482638,0.5358457873077757,0.2502279867061254,0.6936024913665191,0.0926286560901697,forward_2026,,,,,,,
lstm,direct,123.0,5.0,122,3299.0,9041.0,8.038560800006962,0.3672160999994958,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5307559021009314,0.2491308986164059,0.6914086935314138,0.0835949558278789,forward_2026,,,,,,,
lstm,direct,456.0,5.0,122,3299.0,9041.0,8.209361000001081,0.4184337000042433,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4938271604938271,0.2498217234118824,0.692790626877758,0.0859187418136044,forward_2026,,,,,,,
lstm,direct,789.0,5.0,122,3299.0,9041.0,8.360992200003238,0.3967004000005545,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.4710144927536231,0.5285899935022742,0.0742789820010044,0.5289148797920727,0.2507257566266786,0.6945990888989056,0.0938250560691391,forward_2026,,,,,,,
lstm,direct,2025.0,5.0,122,3299.0,9041.0,8.101283700001659,0.3506988999870373,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5025990903183886,0.2488565724477006,0.6908601855405809,0.0801124788712764,forward_2026,,,,,,,
lstm,multitask,42.0,5.0,122,3299.0,9050.0,9.01043789999676,0.391738800011808,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5434782608695652,0.4837556855100715,-0.0436989484810084,0.4974009096816114,0.2499820533411421,0.6931117780825,0.0834464063678962,forward_2026,,,,,,,
lstm,multitask,123.0,5.0,122,3299.0,9050.0,8.974252699990757,0.38241669999843,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5,0.2491178932892653,0.6913829038055148,0.0817271678344063,forward_2026,,,,,,,
lstm,multitask,456.0,5.0,122,3299.0,9050.0,8.893871799999033,0.3872635000006994,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.4974009096816114,0.2487825253124167,0.6907120615969359,0.0796489914258321,forward_2026,,,,,,,
lstm,multitask,789.0,5.0,122,3299.0,9050.0,9.37424699999974,0.466997799987439,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.572463768115942,0.5084470435347628,0.0246994788464944,0.5060645440762399,0.2497284659355263,0.6925996330375315,0.0880255543667337,forward_2026,,,,,,,
lstm,multitask,2025.0,5.0,122,3299.0,9050.0,9.465587600003346,0.5112902999971993,1.0229160344153695e-05,0.0105738784028595,138.0,0.5869565217391305,0.5869565217391305,0.5,0.0,0.5,0.2487848992467823,0.6907168104779606,0.0796638934508614,forward_2026,,,,,,,
