model,objective,validation_year,threshold,coverage,net_return,net_sharpe
lstm,direct,2019,0.5,1.0,-0.26233050909543876,-2.986131867076128
lstm,direct,2020,0.5,1.0,-0.28907356430362496,-1.2062511137051157
lstm,direct,2021,0.5,1.0,-0.4227335548887243,-3.825255661380042
lstm,direct,2019,0.55,0.0411522633744856,0.0220063974815964,0.9440106171637173
lstm,direct,2020,0.55,0.4049586776859504,-0.1296707588291534,-1.0169942505569955
lstm,direct,2021,0.55,0.008368200836820083,-0.0207587336497666,-1.4367884532480113
lstm,direct,2019,0.6,0.0,0.0,0.0
lstm,direct,2020,0.6,0.06198347107438017,0.017755612968996807,0.2242506199764097
lstm,direct,2021,0.6,0.0,0.0,0.0
lstm,direct,2019,0.65,0.0,0.0,0.0
lstm,direct,2020,0.65,0.01652892561983471,0.06391620368743231,1.0511226580249788
lstm,direct,2021,0.65,0.0,0.0,0.0
lstm,multitask,2019,0.5,1.0,-0.3384441427965738,-3.861258063697666
lstm,multitask,2020,0.5,1.0,-0.4305966453837011,-1.7988836814170333
lstm,multitask,2021,0.5,1.0,-0.5148985299899416,-4.691782107229047
lstm,multitask,2019,0.55,0.2839506172839506,-0.09899364049881142,-1.9751547266328562
lstm,multitask,2020,0.55,0.71900826446281,-0.2050972919146304,-0.9190759643142383
lstm,multitask,2021,0.55,0.0,0.0,0.0
lstm,multitask,2019,0.6,0.00411522633744856,0.014211565319140598,1.018350154434631
lstm,multitask,2020,0.6,0.25206611570247933,0.11938461111165079,0.6470320794772825
lstm,multitask,2021,0.6,0.0,0.0,0.0
lstm,multitask,2019,0.65,0.0,0.0,0.0
lstm,multitask,2020,0.65,0.0743801652892562,0.06873701327599249,0.40844371145733277
lstm,multitask,2021,0.65,0.0,0.0,0.0
cnn,direct,2019,0.5,1.0,-0.18853666658247462,-2.1475677215144615
cnn,direct,2020,0.5,1.0,-0.616641007123121,-2.585550762624149
cnn,direct,2021,0.5,1.0,-0.11148650220182697,-1.0059577494570382
cnn,direct,2019,0.55,0.0,0.0,0.0
cnn,direct,2020,0.55,0.22727272727272727,-0.13853109673276703,-1.220114323582275
cnn,direct,2021,0.55,0.0,0.0,0.0
cnn,direct,2019,0.6,0.0,0.0,0.0
cnn,direct,2020,0.6,0.06198347107438017,-0.08647558262687562,-1.0004395198395908
cnn,direct,2021,0.6,0.0,0.0,0.0
cnn,direct,2019,0.65,0.0,0.0,0.0
cnn,direct,2020,0.65,0.0,0.0,0.0
cnn,direct,2021,0.65,0.0,0.0,0.0
cnn,multitask,2019,0.5,1.0,-0.3997617734720894,-4.579223002986909
cnn,multitask,2020,0.5,1.0,-0.6401571004534339,-2.685863050753588
cnn,multitask,2021,0.5,1.0,-0.502280740293445,-4.571665709766688
cnn,multitask,2019,0.55,0.0,0.0,0.0
cnn,multitask,2020,0.55,0.045454545454545456,-0.046729312701374995,-0.8816450922456567
cnn,multitask,2021,0.55,0.0,0.0,0.0
cnn,multitask,2019,0.6,0.0,0.0,0.0
cnn,multitask,2020,0.6,0.0,0.0,0.0
cnn,multitask,2021,0.6,0.0,0.0,0.0
cnn,multitask,2019,0.65,0.0,0.0,0.0
cnn,multitask,2020,0.65,0.0,0.0,0.0
cnn,multitask,2021,0.65,0.0,0.0,0.0
lstm_cnn,direct,2019,0.5,1.0,-0.08809521899515621,-1.0089674849181591
lstm_cnn,direct,2020,0.5,1.0,0.03413057793409843,0.14278785464671936
lstm_cnn,direct,2021,0.5,1.0,-0.1469296398186118,-1.3240953202359496
lstm_cnn,direct,2019,0.55,0.0,0.0,0.0
lstm_cnn,direct,2020,0.55,0.0,0.0,0.0
lstm_cnn,direct,2021,0.55,0.0,0.0,0.0
lstm_cnn,direct,2019,0.6,0.0,0.0,0.0
lstm_cnn,direct,2020,0.6,0.0,0.0,0.0
lstm_cnn,direct,2021,0.6,0.0,0.0,0.0
lstm_cnn,direct,2019,0.65,0.0,0.0,0.0
lstm_cnn,direct,2020,0.65,0.0,0.0,0.0
lstm_cnn,direct,2021,0.65,0.0,0.0,0.0
lstm_cnn,multitask,2019,0.5,1.0,-0.3997617734720894,-4.579223002986909
lstm_cnn,multitask,2020,0.5,1.0,-0.4356072368361969,-1.8199373933107559
lstm_cnn,multitask,2021,0.5,1.0,-0.502280740293445,-4.571665709766688
lstm_cnn,multitask,2019,0.55,0.0,0.0,0.0
lstm_cnn,multitask,2020,0.55,0.0,0.0,0.0
lstm_cnn,multitask,2021,0.55,0.0,0.0,0.0
lstm_cnn,multitask,2019,0.6,0.0,0.0,0.0
lstm_cnn,multitask,2020,0.6,0.0,0.0,0.0
lstm_cnn,multitask,2021,0.6,0.0,0.0,0.0
lstm_cnn,multitask,2019,0.65,0.0,0.0,0.0
lstm_cnn,multitask,2020,0.65,0.0,0.0,0.0
lstm_cnn,multitask,2021,0.65,0.0,0.0,0.0
lstm_attention,direct,2019,0.5,1.0,-0.3997617734720894,-4.579223002986909
lstm_attention,direct,2020,0.5,1.0,-0.4356072368361969,-1.8199373933107559
lstm_attention,direct,2021,0.5,1.0,-0.502280740293445,-4.571665709766688
lstm_attention,direct,2019,0.55,0.0,0.0,0.0
lstm_attention,direct,2020,0.55,0.0,0.0,0.0
lstm_attention,direct,2021,0.55,0.0,0.0,0.0
lstm_attention,direct,2019,0.6,0.0,0.0,0.0
lstm_attention,direct,2020,0.6,0.0,0.0,0.0
lstm_attention,direct,2021,0.6,0.0,0.0,0.0
lstm_attention,direct,2019,0.65,0.0,0.0,0.0
lstm_attention,direct,2020,0.65,0.0,0.0,0.0
lstm_attention,direct,2021,0.65,0.0,0.0,0.0
lstm_attention,multitask,2019,0.5,1.0,-0.3997617734720894,-4.579223002986909
lstm_attention,multitask,2020,0.5,1.0,-0.5161719558662582,-2.1593632657153248
lstm_attention,multitask,2021,0.5,1.0,-0.502280740293445,-4.571665709766688
lstm_attention,multitask,2019,0.55,0.0,0.0,0.0
lstm_attention,multitask,2020,0.55,0.12396694214876033,-0.021277753122279607,-0.25734155825303234
lstm_attention,multitask,2021,0.55,0.0,0.0,0.0
lstm_attention,multitask,2019,0.6,0.0,0.0,0.0
lstm_attention,multitask,2020,0.6,0.0,0.0,0.0
lstm_attention,multitask,2021,0.6,0.0,0.0,0.0
lstm_attention,multitask,2019,0.65,0.0,0.0,0.0
lstm_attention,multitask,2020,0.65,0.0,0.0,0.0
lstm_attention,multitask,2021,0.65,0.0,0.0,0.0
lstm_cnn_attention,direct,2019,0.5,1.0,-0.0862382265279106,-0.9878485059326854
lstm_cnn_attention,direct,2020,0.5,1.0,-0.42394748558836814,-1.770954079357565
lstm_cnn_attention,direct,2021,0.5,1.0,-0.502280740293445,-4.571665709766688
lstm_cnn_attention,direct,2019,0.55,0.0,0.0,0.0
lstm_cnn_attention,direct,2020,0.55,0.34297520661157027,-0.08778575045489272,-0.9279246825236951
lstm_cnn_attention,direct,2021,0.55,0.0,0.0,0.0
lstm_cnn_attention,direct,2019,0.6,0.0,0.0,0.0
lstm_cnn_attention,direct,2020,0.6,0.0743801652892562,0.03336675304043249,0.6655956969494087
lstm_cnn_attention,direct,2021,0.6,0.0,0.0,0.0
lstm_cnn_attention,direct,2019,0.65,0.0,0.0,0.0
lstm_cnn_attention,direct,2020,0.65,0.0,0.0,0.0
lstm_cnn_attention,direct,2021,0.65,0.0,0.0,0.0
lstm_cnn_attention,multitask,2019,0.5,1.0,-0.3997617734720894,-4.579223002986909
